alpha;power;hr;surv_3y;e;n
0,10;0,90;0,90;0,9;2,36720777545563e+03;2,48159436589388e+03
0,20;0,90;0,90;0,9;1,62433237182980e+03;1,70282224655841e+03
0,49;0,90;0,90;0,9;6,15181312482517e+02;6,44907681906367e+02
0,01;0,99;0,90;0,9;7,80033983661894e+03;8,17726250788668e+03
0,05;0,99;0,90;0,9;5,68261278745408e+03;5,95720410481850e+03
0,10;0,99;0,90;0,9;4,69043438401834e+03;4,91708233711529e+03
0,20;0,99;0,90;0,9;3,61631366281401e+03;3,79105869116918e+03
0,49;0,99;0,90;0,9;1,99233994937526e+03;2,08861243384659e+03
0,01;0,51;0,99;0,9;2,18956614053887e+05;2,28006523083977e+05
0,05;0,51;0,99;0,9;1,10431123977068e+05;1,14995460297308e+05
0,10;0,51;0,99;0,9;6,76079487602681e+04;7,04023187254562e+04
0,20;0,51;0,99;0,9;2,97458617398150e+04;3,09753169171806e+04
0,49;0,51;0,99;0,9;9,95473434766498e+01;1,03661831666667e+02
0,01;0,80;0,99;0,9;3,97430064690945e+05;4,13856633702425e+05
0,05;0,80;0,99;0,9;2,44831327229985e+05;2,54950689226524e+05
0,10;0,80;0,99;0,9;1,78512866915858e+05;1,85891156049848e+05
0,20;0,80;0,99;0,9;1,12199830477143e+05;1,16837270928062e+05
0,49;0,80;0,99;0,9;2,97458617398151e+04;3,09753169171806e+04
0,01;0,90;0,99;0,9;5,15475098257514e+05;5,36780701500718e+05
0,05;0,90;0,99;0,9;3,39131209687818e+05;3,53148171953155e+05
0,10;0,90;0,99;0,9;2,60154297181224e+05;2,70906987769954e+05
0,20;0,90;0,99;0,9;1,78512866915858e+05;1,85891156049848e+05
0,49;0,90;0,99;0,9;6,76079487602681e+04;7,04023187254562e+04
0,01;0,99;0,99;0,9;8,57251293701804e+05;8,92683181692269e+05
0,05;0,99;0,99;0,9;6,24514734701987e+05;6,50327161339226e+05
0,10;0,99;0,99;0,9;5,15475098257514e+05;5,36780701500718e+05
0,20;0,99;0,99;0,9;3,97430064690945e+05;4,13856633702425e+05
0,49;0,99;0,99;0,9;2,18956614053887e+05;2,28006523083977e+05
