Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
1,Des1,Superiority,1,2-Sided,0.01,0.810041255319141,1,26,17.9980044364929,25.4426336288452,9,9,9,3,2.07669281959534,2.93568849563599,0.1,3,2.07669281959534,2.93568849563599,Null,1,
10,Des10,Superiority,1,2-Sided,0.01,0.801021781458084,1,991,922.866009235382,990.857291221619,368,368,368,3,2.79374170303345,2.99956798553467,0.7,3,2.79374170303345,2.99956798553467,Null,1,
100,Des100,Superiority,1,2-Sided,0.01,0.921078750793399,1,149,149,149,12,12,12,3,3,3,0.1,6,3.90397024154663,5.98829984664917,Null,1,
101,Des101,Superiority,1,2-Sided,0.01,0.900332917808757,1,140,140,140,124,124,124,3,3,3,0.5,6,4.60209540919459,5.98367508078075,Null,1,
102,Des102,Superiority,1,2-Sided,0.01,0.900332917808757,1,176,176,176,124,124,124,3,3,3,0.5,6,4.68675863882527,5.96752172940614,Null,1,
103,Des103,Superiority,1,2-Sided,0.01,0.900332917808757,1,293,293,293,124,124,124,3,3,3,0.5,6,4.79538603268566,5.99876689910889,Null,1,
104,Des104,Superiority,1,2-Sided,0.01,0.900332917808757,1,1119,1119,1119,124,124,124,3,3,3,0.5,6,4.8573431968689,5.99922466351472,Null,1,
105,Des105,Superiority,1,2-Sided,0.01,0.900113767478839,1,503,503,503,468,468,468,3,3,3,0.7,6,5.24856376647949,5.98815542135522,Null,1,
106,Des106,Superiority,1,2-Sided,0.01,0.900113767478839,1,610,610,610,468,468,468,3,3,3,0.7,6,5.28077098772428,5.99838781510016,Null,1,
107,Des107,Superiority,1,2-Sided,0.01,0.900113767478839,1,994,994,994,468,468,468,3,3,3,0.7,6,5.30140113830566,5.99644947052002,Null,1,
108,Des108,Superiority,1,2-Sided,0.01,0.900113767478839,1,3740,3740,3740,468,468,468,3,3,3,0.7,6,5.31964445114136,5.99906301498413,Null,1,
109,Des109,Superiority,1,2-Sided,0.01,0.900029261619167,1,5622,5622,5622,5362,5362,5362,3,3,3,0.9,6,5.78080725973996,5.9953937921891,Null,1,
11,Des11,Superiority,1,2-Sided,0.01,0.801021781458084,1,1957,1811.34657740593,1956.65659332275,368,368,368,3,2.77671933174133,2.99947357177734,0.7,3,2.77671933174133,2.99947357177734,Null,1,
110,Des110,Superiority,1,2-Sided,0.01,0.900029261619167,1,6624,6624,6624,5362,5362,5362,3,3,3,0.9,6,5.78003660187875,5.99996566776827,Null,1,
111,Des111,Superiority,1,2-Sided,0.01,0.900029261619167,1,10473,10473,10473,5362,5362,5362,3,3,3,0.9,6,5.77692461013794,5.99995851520134,Null,1,
112,Des112,Superiority,1,2-Sided,0.01,0.900029261619167,1,38569,38569,38569,5362,5362,5362,3,3,3,0.9,6,5.77533552614113,5.99996423721313,Null,1,
113,Des113,Superiority,1,2-Sided,0.05,0.90257832226898,1,13,13,13,8,8,8,3,3,3,0.1,6,3.02099990844727,5.76505060654611,Null,1,
114,Des114,Superiority,1,2-Sided,0.05,0.90257832226898,1,17,17,17,8,8,8,3,3,3,0.1,6,3.23344373703003,5.55526256561279,Null,1,
115,Des115,Superiority,1,2-Sided,0.05,0.90257832226898,1,27,27,27,8,8,8,3,3,3,0.1,6,3.62741947174072,5.88361644744873,Null,1,
116,Des116,Superiority,1,2-Sided,0.05,0.90257832226898,1,100,100,100,8,8,8,3,3,3,0.1,6,3.88734912872314,5.9562292098999,Null,1,
117,Des117,Superiority,1,2-Sided,0.05,0.90168023506293,1,100,100,100,88,88,88,3,3,3,0.5,6,4.53852939605713,5.87558042715091,Null,1,
118,Des118,Superiority,1,2-Sided,0.05,0.90168023506293,1,125,125,125,88,88,88,3,3,3,0.5,6,4.68216241422397,5.96044639544289,Null,1,
119,Des119,Superiority,1,2-Sided,0.05,0.90168023506293,1,208,208,208,88,88,88,3,3,3,0.5,6,4.79405164718628,5.99686861336295,Null,1,
12,Des12,Superiority,1,2-Sided,0.01,0.801021781458084,1,8474,7818.50461149216,8473.50703239441,368,368,368,3,2.76793885231018,2.9998254776001,0.7,3,2.76793885231018,2.9998254776001,Null,1,
120,Des120,Superiority,1,2-Sided,0.05,0.90168023506293,1,795,795,795,88,88,88,3,3,3,0.5,6,4.85345506668091,5.99397754669189,Null,1,
121,Des121,Superiority,1,2-Sided,0.05,0.900534386965306,1,356,356,356,331,331,331,3,3,3,0.7,6,5.2365961585383,5.97291196376854,Null,1,
122,Des122,Superiority,1,2-Sided,0.05,0.900534386965306,1,432,432,432,331,331,331,3,3,3,0.7,6,5.26998710632324,5.98511981964111,Null,1,
123,Des123,Superiority,1,2-Sided,0.05,0.900534386965306,1,703,703,703,331,331,331,3,3,3,0.7,6,5.30156345217847,5.99664258956909,Null,1,
124,Des124,Superiority,1,2-Sided,0.05,0.900534386965306,1,2645,2645,2645,331,331,331,3,3,3,0.7,6,5.31990974434393,5.99937844276428,Null,1,
125,Des125,Superiority,1,2-Sided,0.05,0.900062222751739,1,3970,3970,3970,3787,3787,3787,3,3,3,0.9,6,5.78507423400879,5.99991989142836,Null,1,
126,Des126,Superiority,1,2-Sided,0.05,0.900062222751739,1,4679,4679,4679,3787,3787,3787,3,3,3,0.9,6,5.77847141555321,5.99831200125118,Null,1,
127,Des127,Superiority,1,2-Sided,0.05,0.900062222751739,1,7397,7397,7397,3787,3787,3787,3,3,3,0.9,6,5.77669286727905,5.99971961975098,Null,1,
128,Des128,Superiority,1,2-Sided,0.05,0.900062222751739,1,27240,27240,27240,3787,3787,3787,3,3,3,0.9,6,5.77533552614113,5.99995851520134,Null,1,
