Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
73,Des73,Superiority,1,2-Sided,0.01,0.803744963381414,1,111,111,111,98,98,98,3,3,3,0.5,6,4.57021359379645,5.92938722725194,Null,1,
74,Des74,Superiority,1,2-Sided,0.01,0.803744963381414,1,139,139,139,98,98,98,3,3,3,0.5,6,4.69090032577515,5.97389464587013,Null,1,
75,Des75,Superiority,1,2-Sided,0.01,0.803744963381414,1,232,232,232,98,98,98,3,3,3,0.5,6,4.78730535507202,5.98728275299072,Null,1,
76,Des76,Superiority,1,2-Sided,0.01,0.803744963381414,1,885,885,885,98,98,98,3,3,3,0.5,6,4.85481977462769,5.99581861495972,Null,1,
77,Des77,Superiority,1,2-Sided,0.01,0.801021781458084,1,396,396,396,368,368,368,3,3,3,0.7,6,5.22767699603885,5.9615592956543,Null,1,
78,Des78,Superiority,1,2-Sided,0.01,0.801021781458084,1,480,480,480,368,368,368,3,3,3,0.7,6,5.27492592341332,5.99119663238525,Null,1,
79,Des79,Superiority,1,2-Sided,0.01,0.801021781458084,1,782,782,782,368,368,368,3,3,3,0.7,6,5.29877471923828,5.99329663599383,Null,1,
80,Des80,Superiority,1,2-Sided,0.01,0.801021781458084,1,2941,2941,2941,368,368,368,3,3,3,0.7,6,5.31944489479065,5.99882555119393,Null,1,
81,Des81,Superiority,1,2-Sided,0.01,0.800077357432331,1,4413,4413,4413,4209,4209,4209,3,3,3,0.9,6,5.78136822441434,5.99598886103922,Null,1,
82,Des82,Superiority,1,2-Sided,0.01,0.800077357432331,1,5200,5200,5200,4209,4209,4209,3,3,3,0.9,6,5.77928251401227,5.99916744388793,Null,1,
83,Des83,Superiority,1,2-Sided,0.01,0.800077357432331,1,8221,8221,8221,4209,4209,4209,3,3,3,0.9,6,5.77690071694997,5.99993848800659,Null,1,
84,Des84,Superiority,1,2-Sided,0.01,0.800077357432331,1,30276,30276,30276,4209,4209,4209,3,3,3,0.9,6,5.77525091171265,5.99987411499023,Null,1,
85,Des85,Superiority,1,2-Sided,0.05,0.803895005221788,1,75,75,75,66,66,66,3,3,3,0.5,6,4.53852939605713,5.87558042715091,Null,1,
86,Des86,Superiority,1,2-Sided,0.05,0.803895005221788,1,94,94,94,66,66,66,3,3,3,0.5,6,4.6664514541626,5.9362735748291,Null,1,
87,Des87,Superiority,1,2-Sided,0.05,0.803895005221788,1,156,156,156,66,66,66,3,3,3,0.5,6,4.79405164718628,5.99686861336295,Null,1,
88,Des88,Superiority,1,2-Sided,0.05,0.803895005221788,1,596,596,596,66,66,66,3,3,3,0.5,6,4.85494208335876,5.99598598480225,Null,1,
89,Des89,Superiority,1,2-Sided,0.05,0.800339021049876,1,266,266,266,247,247,247,3,3,3,0.7,6,5.21445192538522,5.9447193145752,Null,1,
90,Des90,Superiority,1,2-Sided,0.05,0.800339021049876,1,322,322,322,247,247,247,3,3,3,0.7,6,5.27935478271502,5.99664402645976,Null,1,
91,Des91,Superiority,1,2-Sided,0.05,0.800339021049876,1,525,525,525,247,247,247,3,3,3,0.7,6,5.29753370519757,5.99180889910258,Null,1,
92,Des92,Superiority,1,2-Sided,0.05,0.800339021049876,1,1974,1974,1974,247,247,247,3,3,3,0.7,6,5.31941914558411,5.99879264831543,Null,1,
93,Des93,Superiority,1,2-Sided,0.05,0.800110262251926,1,2966,2966,2966,2829,2829,2829,3,3,3,0.9,6,5.78240921301126,5.99709320068359,Null,1,
94,Des94,Superiority,1,2-Sided,0.05,0.800110262251926,1,3495,3495,3495,2829,2829,2829,3,3,3,0.9,6,5.77953264280495,5.99943065697062,Null,1,
95,Des95,Superiority,1,2-Sided,0.05,0.800110262251926,1,5526,5526,5526,2829,2829,2829,3,3,3,0.9,6,5.77644824981689,5.9994564061526,Null,1,
96,Des96,Superiority,1,2-Sided,0.05,0.800110262251926,1,20349,20349,20349,2829,2829,2829,3,3,3,0.9,6,5.77535390853882,5.99997711181641,Null,1,
97,Des97,Superiority,1,2-Sided,0.1,0.803554336538435,1,59,59,59,52,52,52,3,3,3,0.5,6,4.55333518981934,5.90070829323395,Null,1,
98,Des98,Superiority,1,2-Sided,0.1,0.803554336538435,1,74,74,74,52,52,52,3,3,3,0.5,6,4.67126655578613,5.94367800962573,Null,1,
