Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
1,Des73,Superiority,1,2-Sided,0.01,0.99270781416789,1,31,31,31,19,19,19,3,3,3,0.1,6,3.01261996019093,5.7112512588501,Null,1,
2,Des74,Superiority,1,2-Sided,0.01,0.99270781416789,1,39,39,39,19,19,19,3,3,3,0.1,6,3.31278133392334,5.84929275512695,Null,1,
3,Des75,Superiority,1,2-Sided,0.01,0.99270781416789,1,63,63,63,19,19,19,3,3,3,0.1,6,3.67174243927002,5.9931221073839,Null,1,
4,Des76,Superiority,1,2-Sided,0.01,0.99270781416789,1,236,236,236,19,19,19,3,3,3,0.1,6,3.90309047698975,5.98660039901733,Null,1,
5,Des77,Superiority,1,2-Sided,0.01,0.990298575225496,1,227,227,227,201,201,201,3,3,3,0.5,6,4.59922848035421,5.97878845668311,Null,1,
6,Des78,Superiority,1,2-Sided,0.01,0.990298575225496,1,285,285,285,201,201,201,3,3,3,0.5,6,4.6928186416626,5.97685432434082,Null,1,
7,Des79,Superiority,1,2-Sided,0.01,0.990298575225496,1,475,475,475,201,201,201,3,3,3,0.5,6,4.79487562179565,5.99804020114334,Null,1,
8,Des80,Superiority,1,2-Sided,0.01,0.990298575225496,1,1814,1814,1814,201,201,201,3,3,3,0.5,6,4.8570728302002,5.99886417496691,Null,1,
9,Des81,Superiority,1,2-Sided,0.01,0.990034398928059,1,813,813,813,756,756,756,3,3,3,0.7,6,5.23871258146981,5.97560696483924,Null,1,
10,Des82,Superiority,1,2-Sided,0.01,0.990034398928059,1,986,986,986,756,756,756,3,3,3,0.7,6,5.27564690050895,5.99208642559461,Null,1,
11,Des83,Superiority,1,2-Sided,0.01,0.990034398928059,1,1605,1605,1605,756,756,756,3,3,3,0.7,6,5.30365557321488,5.99915456930921,Null,1,
12,Des84,Superiority,1,2-Sided,0.01,0.990034398928059,1,6041,6041,6041,756,756,756,3,3,3,0.7,6,5.32001137733459,5.99949502992558,Null,1,
13,Des85,Superiority,1,2-Sided,0.01,0.990005363943374,1,9079,9079,9079,8660,8660,8660,3,3,3,0.9,6,5.78352928161621,5.99828339897795,Null,1,
14,Des86,Superiority,1,2-Sided,0.01,0.990005363943374,1,10699,10699,10699,8660,8660,8660,3,3,3,0.9,6,5.77926412789253,5.99914741596876,Null,1,
15,Des87,Superiority,1,2-Sided,0.01,0.990005363943374,1,16915,16915,16915,8660,8660,8660,3,3,3,0.9,6,5.77678298950195,5.99980974197388,Null,1,
16,Des88,Superiority,1,2-Sided,0.01,0.990005363943374,1,62292,62292,62292,8660,8660,8660,3,3,3,0.9,6,5.77530884742737,5.99993276601936,Null,1,
17,Des89,Superiority,1,2-Sided,0.01,0.990000060466717,1,990984,990984,990984,951650,951650,951650,3,3,3,0.99,6,5.97995010379236,5.99995994575511,Null,1,
18,Des90,Superiority,1,2-Sided,0.01,0.990000060466717,1,1154785,1154785,1154785,951650,951650,951650,3,3,3,0.99,6,5.97887140593135,5.99999713897432,Null,1,
19,Des91,Superiority,1,2-Sided,0.01,0.990000060466717,1,1800949,1800949,1800949,951650,951650,951650,3,3,3,0.99,6,5.97807888395255,5.99998998641968,Null,1,
20,Des92,Superiority,1,2-Sided,0.01,0.990000060466717,1,6557745,6557745,6557745,951650,951650,951650,3,3,3,0.99,6,5.97762109982796,5.99999713897432,Null,1,
21,Des93,Superiority,1,2-Sided,0.05,0.990557120232962,1,23,22.9887585639954,23,14,14,14,3,2.99853372573853,3,0.1,6,2.99853372573853,5.62231349945068,Null,1,
22,Des94,Superiority,1,2-Sided,0.05,0.990557120232962,1,29,29,29,14,14,14,3,3,3,0.1,6,3.29139347896898,5.76844761995972,Null,1,
23,Des95,Superiority,1,2-Sided,0.05,0.990557120232962,1,47,47,47,14,14,14,3,3,3,0.1,6,3.64058589935303,5.91605480569797,Null,1,
24,Des96,Superiority,1,2-Sided,0.05,0.990557120232962,1,174,174,174,14,14,14,3,3,3,0.1,6,3.90157985687256,5.98369073867798,Null,1,
25,Des97,Superiority,1,2-Sided,0.05,0.990015094014051,1,173,173,173,153,153,153,3,3,3,0.5,6,4.5871222741489,5.95816040039063,Null,1,
26,Des98,Superiority,1,2-Sided,0.05,0.990015094014051,1,217,217,217,153,153,153,3,3,3,0.5,6,4.69117909318584,5.97433090209961,Null,1,
27,Des99,Superiority,1,2-Sided,0.05,0.990015094014051,1,362,362,362,153,153,153,3,3,3,0.5,6,4.78972578048706,5.9907217202508,Null,1,
28,Des100,Superiority,1,2-Sided,0.05,0.990015094014051,1,1381,1381,1381,153,153,153,3,3,3,0.5,6,4.85657715797424,5.99818825893976,Null,1,
29,Des101,Superiority,1,2-Sided,0.05,0.990032250626283,1,621,621,621,578,578,578,3,3,3,0.7,6,5.25493453518039,5.99627210123072,Null,1,
30,Des102,Superiority,1,2-Sided,0.05,0.990032250626283,1,754,754,754,578,578,578,3,3,3,0.7,6,5.27398104860094,5.9900322055455,Null,1,
31,Des103,Superiority,1,2-Sided,0.05,0.990032250626283,1,1227,1227,1227,578,578,578,3,3,3,0.7,6,5.30409836769104,5.99968242703653,Null,1,
32,Des104,Superiority,1,2-Sided,0.05,0.990032250626283,1,4619,4619,4619,578,578,578,3,3,3,0.7,6,5.31969731359254,5.99912738800049,Null,1,
33,Des105,Superiority,1,2-Sided,0.05,0.990006816506601,1,6941,6941,6941,6621,6621,6621,3,3,3,0.9,6,5.78487008644723,5.99970817619396,Null,1,
34,Des106,Superiority,1,2-Sided,0.05,0.990006816506601,1,8180,8180,8180,6621,6621,6621,3,3,3,0.9,6,5.77915376822511,5.99903297697165,Null,1,
35,Des107,Superiority,1,2-Sided,0.05,0.990006816506601,1,12932,12932,12932,6621,6621,6621,3,3,3,0.9,6,5.77695221526483,5.99998998641968,Null,1,
36,Des108,Superiority,1,2-Sided,0.05,0.990006816506601,1,47625,47625,47625,6621,6621,6621,3,3,3,0.9,6,5.77534103393555,5.99996423721313,Null,1,
37,Des109,Superiority,1,2-Sided,0.05,0.990000007217078,1,757628,757628,757628,727556,727556,727556,3,3,3,0.99,6,5.97993282328753,5.99994277971564,Null,1,
38,Des110,Superiority,1,2-Sided,0.05,0.990000007217078,1,882857,882857,882857,727556,727556,727556,3,3,3,0.99,6,5.97887140593135,5.99999713897432,Null,1,
39,Des111,Superiority,1,2-Sided,0.05,0.990000007217078,1,1376863,1376863,1376863,727556,727556,727556,3,3,3,0.99,6,5.97807741165161,5.99998426438333,Null,1,
40,Des112,Superiority,1,2-Sided,0.05,0.990000007217078,1,5013531,5013531,5013531,727556,727556,727556,3,3,3,0.99,6,5.97762109982796,5.99999713897432,Null,1,
41,Des113,Superiority,1,2-Sided,0.1,0.99044404903933,1,20,19.7967338562012,20,12,12,12,3,2.96951007843018,3,0.1,6,2.96951007843018,5.44724961368411,Null,1,
42,Des114,Superiority,1,2-Sided,0.1,0.99044404903933,1,25,25,25,12,12,12,3,3,3,0.1,6,3.2781400680542,5.71894481759045,Null,1,
43,Des115,Superiority,1,2-Sided,0.1,0.99044404903933,1,40,40,40,12,12,12,3,3,3,0.1,6,3.65840944441516,5.96008590689507,Null,1,
44,Des116,Superiority,1,2-Sided,0.1,0.99044404903933,1,149,149,149,12,12,12,3,3,3,0.1,6,3.90397024154663,5.98829984664917,Null,1,
45,Des117,Superiority,1,2-Sided,0.1,0.990279735302363,1,149,149,149,132,132,132,3,3,3,0.5,6,4.60428408757616,5.98740578898287,Null,1,
46,Des118,Superiority,1,2-Sided,0.1,0.990279735302363,1,187,187,187,132,132,132,3,3,3,0.5,6,4.69805860519409,5.98492245215672,Null,1,
47,Des119,Superiority,1,2-Sided,0.1,0.990279735302363,1,312,312,312,132,132,132,3,3,3,0.5,6,4.79405164718628,5.99686861336295,Null,1,
48,Des120,Superiority,1,2-Sided,0.1,0.990279735302363,1,1192,1192,1192,132,132,132,3,3,3,0.5,6,4.85494208335876,5.99598598480225,Null,1,
49,Des121,Superiority,1,2-Sided,0.1,0.990014993952385,1,533,533,533,496,496,496,3,3,3,0.7,6,5.2516436545302,5.99207499657496,Null,1,
50,Des122,Superiority,1,2-Sided,0.1,0.990014993952385,1,647,647,647,496,496,496,3,3,3,0.7,6,5.27437513050022,5.99052144000325,Null,1,
51,Des123,Superiority,1,2-Sided,0.1,0.990014993952385,1,1053,1053,1053,496,496,496,3,3,3,0.7,6,5.30373787879944,5.99925041269671,Null,1,
52,Des124,Superiority,1,2-Sided,0.1,0.990014993952385,1,3963,3963,3963,496,496,496,3,3,3,0.7,6,5.32042980194092,5.99998998641968,Null,1,
53,Des125,Superiority,1,2-Sided,0.1,0.990003615112254,1,5958,5958,5958,5683,5683,5683,3,3,3,0.9,6,5.78335824001949,5.99810028792126,Null,1,
54,Des126,Superiority,1,2-Sided,0.1,0.990003615112254,1,7021,7021,7021,5683,5683,5683,3,3,3,0.9,6,5.77935791015625,5.99925041269671,Null,1,
55,Des127,Superiority,1,2-Sided,0.1,0.990003615112254,1,11100,11100,11100,5683,5683,5683,3,3,3,0.9,6,5.77690622624232,5.99994564061035,Null,1,
56,Des128,Superiority,1,2-Sided,0.1,0.990003615112254,1,40878,40878,40878,5683,5683,5683,3,3,3,0.9,6,5.77533459663391,5.99995851520134,Null,1,
57,Des129,Superiority,1,2-Sided,0.1,0.990000032232285,1,650328,650328,650328,624515,624515,624515,3,3,3,0.99,6,5.97993282328753,5.99994277971564,Null,1,
58,Des130,Superiority,1,2-Sided,0.1,0.990000032232285,1,757821,757821,757821,624515,624515,624515,3,3,3,0.99,6,5.97887710783289,6.00000286102295,Null,1,
59,Des131,Superiority,1,2-Sided,0.1,0.990000032232285,1,1181863,1181863,1181863,624515,624515,624515,3,3,3,0.99,6,5.97807741165161,5.99998998641968,Null,1,
60,Des132,Superiority,1,2-Sided,0.1,0.990000032232285,1,4303484,4303484,4303484,624515,624515,624515,3,3,3,0.99,6,5.97762109982796,5.99999713897432,Null,1,
61,Des133,Superiority,1,2-Sided,0.2,0.990842129351472,1,16,16,16,10,10,10,3,3,3,0.1,6,3.05398464202881,5.98342329618026,Null,1,
62,Des134,Superiority,1,2-Sided,0.2,0.990842129351472,1,21,21,21,10,10,10,3,3,3,0.1,6,3.25995254516602,5.6517394526054,Null,1,
63,Des135,Superiority,1,2-Sided,0.2,0.990842129351472,1,34,34,34,10,10,10,3,3,3,0.1,6,3.60926628112793,5.83902612778502,Null,1,
64,Des136,Superiority,1,2-Sided,0.2,0.990842129351472,1,124,124,124,10,10,10,3,3,3,0.1,6,3.90732192993164,5.99476933479309,Null,1,
65,Des137,Superiority,1,2-Sided,0.2,0.990275242909941,1,123,123,123,109,109,109,3,3,3,0.5,6,4.6074041295924,5.99272443941753,Null,1,
66,Des138,Superiority,1,2-Sided,0.2,0.990275242909941,1,155,155,155,109,109,109,3,3,3,0.5,6,4.67565233644791,5.95042996365009,Null,1,
67,Des139,Superiority,1,2-Sided,0.2,0.990275242909941,1,258,258,258,109,109,109,3,3,3,0.5,6,4.7879831428645,5.98824834823608,Null,1,
68,Des140,Superiority,1,2-Sided,0.2,0.990275242909941,1,984,984,984,109,109,109,3,3,3,0.5,6,4.85603179355962,5.99746012687683,Null,1,
69,Des141,Superiority,1,2-Sided,0.2,0.990084386734645,1,441,441,441,410,410,410,3,3,3,0.7,6,5.23529793233593,5.97125832776125,Null,1,
70,Des142,Superiority,1,2-Sided,0.2,0.990084386734645,1,535,535,535,410,410,410,3,3,3,0.7,6,5.27160427893705,5.98710250854492,Null,1,
71,Des143,Superiority,1,2-Sided,0.2,0.990084386734645,1,871,871,871,410,410,410,3,3,3,0.7,6,5.30027599307914,5.99509763717651,Null,1,
