Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,Sample Size,π0,π1
1,Des1,Superiority,1,1-Sided Exact,0.005,0.00468002616534318,0.524626986646654,706,0.5,0.55
2,Des2,Superiority,1,1-Sided Exact,0.005,0.00401835318892864,0.545734146962134,83,0.5,0.65
3,Des3,Superiority,1,1-Sided Exact,0.005,0.00406502932310105,0.556772413121119,29,0.5,0.75
4,Des4,Superiority,1,1-Sided Exact,0.005,0.00390625,0.92274469442792,8,0.5,0.99
5,Des5,Superiority,1,1-Sided Exact,0.025,0.0231691180446252,0.5278793135067,424,0.5,0.55
6,Des6,Superiority,1,1-Sided Exact,0.025,0.0201117820478584,0.573332370470318,54,0.5,0.65
7,Des7,Superiority,1,1-Sided Exact,0.025,0.0245208740234375,0.573886408936233,17,0.5,0.75
8,Des8,Superiority,1,1-Sided Exact,0.025,0.015625,0.941480149401,6,0.5,0.99
9,Des9,Superiority,1,1-Sided Exact,0.05,0.0454050190815987,0.534582840804382,315,0.5,0.55
10,Des10,Superiority,1,1-Sided Exact,0.05,0.0403452338759965,0.572082147835299,40,0.5,0.65
11,Des11,Superiority,1,1-Sided Exact,0.05,0.0384063720703126,0.630186175229029,16,0.5,0.75
12,Des12,Superiority,1,1-Sided Exact,0.05,0.03125,0.9509900499,5,0.5,0.99
13,Des13,Superiority,1,1-Sided Exact,0.1,0.0916467739164031,0.540145693451255,204,0.5,0.55
14,Des14,Superiority,1,1-Sided Exact,0.1,0.0748063921928413,0.603351052724605,31,0.5,0.65
15,Des15,Superiority,1,1-Sided Exact,0.1,0.0729980468750001,0.64877861738205,12,0.5,0.75
16,Des16,Superiority,1,1-Sided Exact,0.1,0.0625,0.96059601,4,0.5,0.99
17,Des17,Superiority,1,1-Sided Exact,0.245,0.219852714592919,0.554367156497668,82,0.5,0.55
18,Des18,Superiority,1,1-Sided Exact,0.245,0.19384765625,0.583345050488948,12,0.5,0.65
19,Des19,Superiority,1,1-Sided Exact,0.245,0.1875,0.6328125,5,0.5,0.75
20,Des20,Superiority,1,1-Sided Exact,0.245,0.125,0.970299,3,0.5,0.99
21,Des21,Superiority,1,1-Sided Exact,0.005,0.00474138331740428,0.800554811834537,1178,0.5,0.55
22,Des22,Superiority,1,1-Sided Exact,0.005,0.00478241484385819,0.828512405119077,135,0.5,0.65
23,Des23,Superiority,1,1-Sided Exact,0.005,0.00397136325474179,0.824084921957504,47,0.5,0.75
24,Des24,Superiority,1,1-Sided Exact,0.005,0.00390625,0.92274469442792,8,0.5,0.99
25,Des25,Superiority,1,1-Sided Exact,0.025,0.0238931674666856,0.804033127558613,801,0.5,0.55
26,Des26,Superiority,1,1-Sided Exact,0.025,0.0235057808224274,0.826707347525072,92,0.5,0.65
27,Des27,Superiority,1,1-Sided Exact,0.025,0.021386972628534,0.803406636949516,30,0.5,0.75
28,Des28,Superiority,1,1-Sided Exact,0.025,0.015625,0.941480149401,6,0.5,0.99
29,Des29,Superiority,1,1-Sided Exact,0.05,0.0463014097684746,0.810731034578652,654,0.5,0.55
30,Des30,Superiority,1,1-Sided Exact,0.05,0.0423230463354178,0.826245217516871,76,0.5,0.65
31,Des31,Superiority,1,1-Sided Exact,0.05,0.0435792766511442,0.861546465071191,28,0.5,0.75
32,Des32,Superiority,1,1-Sided Exact,0.05,0.03125,0.9509900499,5,0.5,0.99
33,Des33,Superiority,1,1-Sided Exact,0.1,0.0936934438898977,0.812341324708713,484,0.5,0.55
34,Des34,Superiority,1,1-Sided Exact,0.1,0.0885006823851802,0.821476575934787,55,0.5,0.65
35,Des35,Superiority,1,1-Sided Exact,0.1,0.0946235656738277,0.870086594208257,21,0.5,0.75
36,Des36,Superiority,1,1-Sided Exact,0.1,0.0625,0.96059601,4,0.5,0.99
37,Des37,Superiority,1,1-Sided Exact,0.245,0.231388674486389,0.817130902798152,267,0.5,0.55
