Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,Sample Size,π0,π1
38,Des38,Superiority,1,1-Sided Exact,0.245,0.202516123070384,0.84456594608522,36,0.5,0.65
39,Des39,Superiority,1,1-Sided Exact,0.245,0.19384765625,0.842356324195863,12,0.5,0.75
40,Des40,Superiority,1,1-Sided Exact,0.245,0.125,0.970299,3,0.5,0.99
41,Des41,Superiority,1,1-Sided Exact,0.005,0.00496146944246065,0.904518288093109,1505,0.5,0.55
42,Des42,Superiority,1,1-Sided Exact,0.005,0.00435766557265715,0.910021277961846,169,0.5,0.65
43,Des43,Superiority,1,1-Sided Exact,0.005,0.00432074984164089,0.920295840229754,59,0.5,0.75
44,Des44,Superiority,1,1-Sided Exact,0.005,0.003173828125,0.993825462227175,12,0.5,0.99
45,Des45,Superiority,1,1-Sided Exact,0.025,0.0243707404320738,0.900344353685499,1055,0.5,0.55
46,Des46,Superiority,1,1-Sided Exact,0.025,0.0225258698628696,0.912414393308424,121,0.5,0.65
47,Des47,Superiority,1,1-Sided Exact,0.025,0.0217792609619208,0.919471261320456,42,0.5,0.75
48,Des48,Superiority,1,1-Sided Exact,0.025,0.015625,0.941480149401,6,0.5,0.99
49,Des49,Superiority,1,1-Sided Exact,0.05,0.0469331759112583,0.9058744298147,891,0.5,0.55
50,Des50,Superiority,1,1-Sided Exact,0.05,0.0427052945564057,0.904326885531253,98,0.5,0.65
51,Des51,Superiority,1,1-Sided Exact,0.05,0.0447655394673349,0.924428147722368,35,0.5,0.75
52,Des52,Superiority,1,1-Sided Exact,0.05,0.03125,0.9509900499,5,0.5,0.99
53,Des53,Superiority,1,1-Sided Exact,0.1,0.0966149225996056,0.90628856342275,683,0.5,0.55
54,Des54,Superiority,1,1-Sided Exact,0.1,0.0883052765300849,0.914830613655722,79,0.5,0.65
55,Des55,Superiority,1,1-Sided Exact,0.1,0.0748063921928413,0.935574259288178,31,0.5,0.75
56,Des56,Superiority,1,1-Sided Exact,0.1,0.0625,0.96059601,4,0.5,0.99
57,Des57,Superiority,1,1-Sided Exact,0.245,0.23265818388172,0.908191444912019,422,0.5,0.55
58,Des58,Superiority,1,1-Sided Exact,0.245,0.235439506810858,0.920764019917754,48,0.5,0.65
59,Des59,Superiority,1,1-Sided Exact,0.245,0.240341186523437,0.943052019341847,18,0.5,0.75
60,Des60,Superiority,1,1-Sided Exact,0.245,0.125,0.970299,3,0.5,0.99
61,Des61,Superiority,1,1-Sided Exact,0.005,0.0049093989985377,0.990531838224383,2420,0.5,0.55
62,Des62,Superiority,1,1-Sided Exact,0.005,0.00437511028775915,0.991752360180291,270,0.5,0.65
63,Des63,Superiority,1,1-Sided Exact,0.005,0.00439046540348772,0.992703272765296,92,0.5,0.75
64,Des64,Superiority,1,1-Sided Exact,0.005,0.003173828125,0.993825462227175,12,0.5,0.99
65,Des65,Superiority,1,1-Sided Exact,0.025,0.024866691553078,0.990045457676749,1833,0.5,0.55
66,Des66,Superiority,1,1-Sided Exact,0.025,0.024560739730444,0.991596609538719,203,0.5,0.65
67,Des67,Superiority,1,1-Sided Exact,0.025,0.024900057147364,0.991264755934326,67,0.5,0.75
68,Des68,Superiority,1,1-Sided Exact,0.025,0.01953125,0.996564269982154,9,0.5,0.99
69,Des69,Superiority,1,1-Sided Exact,0.05,0.0491925386359081,0.990606284555717,1595,0.5,0.55
70,Des70,Superiority,1,1-Sided Exact,0.05,0.0489648551984974,0.992201689303215,177,0.5,0.65
71,Des71,Superiority,1,1-Sided Exact,0.05,0.0462304905364611,0.992505591005676,60,0.5,0.75
72,Des72,Superiority,1,1-Sided Exact,0.05,0.03515625,0.997309922260479,8,0.5,0.99
73,Des73,Superiority,1,1-Sided Exact,0.1,0.0973777966742096,0.990270139669034,1314,0.5,0.55
74,Des74,Superiority,1,1-Sided Exact,0.1,0.0933826849060148,0.991700846962638,147,0.5,0.65
75,Des75,Superiority,1,1-Sided Exact,0.1,0.0967063264309695,0.991643766238598,48,0.5,0.75
76,Des76,Superiority,1,1-Sided Exact,0.1,0.0625,0.99796895836506,7,0.5,0.99
77,Des77,Superiority,1,1-Sided Exact,0.245,0.235457898054231,0.990305990024687,931,0.5,0.55
78,Des78,Superiority,1,1-Sided Exact,0.245,0.221834750601197,0.992659766044037,109,0.5,0.65
79,Des79,Superiority,1,1-Sided Exact,0.245,0.202516123070384,0.991420235432254,36,0.5,0.75
80,Des80,Superiority,1,1-Sided Exact,0.245,0.1875,0.9990198504,5,0.5,0.99
