Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,Sample Size,π0,π1
1,Des81,Superiority,1,1-Sided Exact,0.005,0.00474896954942605,0.548737420955749,438,0.8,0.85
2,Des82,Superiority,1,1-Sided Exact,0.005,0.00464060077888431,0.635155269803454,43,0.8,0.95
3,Des83,Superiority,1,1-Sided Exact,0.025,0.0240735144891506,0.565135830614637,271,0.8,0.85
4,Des84,Superiority,1,1-Sided Exact,0.025,0.0226673591177744,0.624126539524127,26,0.8,0.95
5,Des85,Superiority,1,1-Sided Exact,0.05,0.0494810530137453,0.572134217308148,198,0.8,0.85
6,Des86,Superiority,1,1-Sided Exact,0.05,0.047961534591645,0.698151333890637,22,0.8,0.95
7,Des87,Superiority,1,1-Sided Exact,0.1,0.0944391529550811,0.54722489561212,121,0.8,0.85
8,Des88,Superiority,1,1-Sided Exact,0.1,0.0858993459200001,0.56880009227646,11,0.8,0.95
9,Des89,Superiority,1,1-Sided Exact,0.245,0.23763227802432,0.554521591563264,42,0.8,0.85
10,Des90,Superiority,1,1-Sided Exact,0.245,0.2097152,0.69833729609375,7,0.8,0.95
11,Des91,Superiority,1,1-Sided Exact,0.005,0.00495780815905582,0.804112416354362,690,0.8,0.85
12,Des92,Superiority,1,1-Sided Exact,0.005,0.00461372449038902,0.82813292644189,59,0.8,0.95
13,Des93,Superiority,1,1-Sided Exact,0.025,0.0238197357267901,0.824994048898289,494,0.8,0.85
14,Des94,Superiority,1,1-Sided Exact,0.025,0.0243581030227584,0.852594501311413,41,0.8,0.95
15,Des95,Superiority,1,1-Sided Exact,0.05,0.0494750973435516,0.819688246309308,381,0.8,0.85
16,Des96,Superiority,1,1-Sided Exact,0.05,0.0449863845008994,0.88810904279689,37,0.8,0.95
17,Des97,Superiority,1,1-Sided Exact,0.1,0.0952737727298066,0.815417710424481,281,0.8,0.85
18,Des98,Superiority,1,1-Sided Exact,0.1,0.0982252228436886,0.872893504339067,25,0.8,0.95
19,Des99,Superiority,1,1-Sided Exact,0.245,0.239364559572831,0.841548797380349,166,0.8,0.85
20,Des100,Superiority,1,1-Sided Exact,0.245,0.236889340399688,0.933453648376813,19,0.8,0.95
21,Des101,Superiority,1,1-Sided Exact,0.005,0.00489557750735711,0.90995255933648,894,0.8,0.85
22,Des102,Superiority,1,1-Sided Exact,0.005,0.00458734078095035,0.950473786341583,81,0.8,0.95
23,Des103,Superiority,1,1-Sided Exact,0.025,0.024748159694846,0.911698424619463,635,0.8,0.85
24,Des104,Superiority,1,1-Sided Exact,0.025,0.0248391972105828,0.909332084230695,48,0.8,0.95
25,Des105,Superiority,1,1-Sided Exact,0.05,0.0490625208222686,0.904895104592859,506,0.8,0.85
26,Des106,Superiority,1,1-Sided Exact,0.05,0.04401020724924,0.932524368085316,44,0.8,0.95
27,Des107,Superiority,1,1-Sided Exact,0.1,0.0983686757723211,0.905100429988799,388,0.8,0.85
28,Des108,Superiority,1,1-Sided Exact,0.1,0.0985684541918258,0.960273365793344,38,0.8,0.95
29,Des109,Superiority,1,1-Sided Exact,0.245,0.243734334388499,0.909766854749064,234,0.8,0.85
30,Des110,Superiority,1,1-Sided Exact,0.245,0.233993259226191,0.965909398519009,25,0.8,0.95
31,Des111,Superiority,1,1-Sided Exact,0.005,0.00486153673489091,0.991202935231658,1414,0.8,0.85
32,Des112,Superiority,1,1-Sided Exact,0.005,0.00484525583775163,0.992118319579005,108,0.8,0.95
33,Des113,Superiority,1,1-Sided Exact,0.025,0.0242833933298592,0.991476299729451,1086,0.8,0.85
34,Des114,Superiority,1,1-Sided Exact,0.025,0.0238150297136156,0.995542017043622,88,0.8,0.95
35,Des115,Superiority,1,1-Sided Exact,0.05,0.0496108047987244,0.991451687917487,927,0.8,0.85
36,Des116,Superiority,1,1-Sided Exact,0.05,0.0449624353033715,0.995466321244986,76,0.8,0.95
37,Des117,Superiority,1,1-Sided Exact,0.1,0.0991210400202249,0.991072425326124,758,0.8,0.85
38,Des118,Superiority,1,1-Sided Exact,0.1,0.0936881983268007,0.996011060209246,63,0.8,0.95
39,Des119,Superiority,1,1-Sided Exact,0.245,0.241852626347055,0.99112412794728,530,0.8,0.85
40,Des120,Superiority,1,1-Sided Exact,0.245,0.23763227802432,0.995500431610002,42,0.8,0.95
