Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,Sample Size,π0,π1
1,Des81,Superiority,1,1-Sided Exact,0.005,0.00493635437815473,0.567046709693182,222,0.9,0.95
2,Des82,Superiority,1,1-Sided Exact,0.025,0.0245341979273343,0.635456684962101,154,0.9,0.95
3,Des83,Superiority,1,1-Sided Exact,0.05,0.0479488733731979,0.58901510423059,103,0.9,0.95
4,Des84,Superiority,1,1-Sided Exact,0.1,0.0993943232673151,0.648916208082966,78,0.9,0.95
5,Des85,Superiority,1,1-Sided Exact,0.245,0.237832313995923,0.690619345529919,39,0.9,0.95
6,Des86,Superiority,1,1-Sided Exact,0.005,0.00486403874089742,0.846427060480026,365,0.9,0.95
7,Des87,Superiority,1,1-Sided Exact,0.025,0.0243445597050525,0.838890525399774,243,0.9,0.95
8,Des88,Superiority,1,1-Sided Exact,0.05,0.0491386369104459,0.837609466667946,191,0.9,0.95
9,Des89,Superiority,1,1-Sided Exact,0.1,0.0969457530425578,0.859019018725727,152,0.9,0.95
10,Des90,Superiority,1,1-Sided Exact,0.245,0.242155073986383,0.866990187543148,85,0.9,0.95
11,Des91,Superiority,1,1-Sided Exact,0.005,0.00496345702605787,0.920061219375245,439,0.9,0.95
12,Des92,Superiority,1,1-Sided Exact,0.025,0.0243259603344346,0.924326209458854,316,0.9,0.95
13,Des93,Superiority,1,1-Sided Exact,0.05,0.0492903415258625,0.918875096802655,251,0.9,0.95
14,Des94,Superiority,1,1-Sided Exact,0.1,0.0988924356847442,0.936677645675225,210,0.9,0.95
15,Des95,Superiority,1,1-Sided Exact,0.245,0.238095553199831,0.938138811526465,130,0.9,0.95
16,Des96,Superiority,1,1-Sided Exact,0.005,0.00488365525416192,0.992632769443807,679,0.9,0.95
17,Des97,Superiority,1,1-Sided Exact,0.025,0.0244659549366743,0.992610270201101,515,0.9,0.95
18,Des98,Superiority,1,1-Sided Exact,0.05,0.0493149721396448,0.992279228873491,436,0.9,0.95
19,Des99,Superiority,1,1-Sided Exact,0.1,0.0990166237772896,0.992293162197857,357,0.9,0.95
20,Des100,Superiority,1,1-Sided Exact,0.245,0.238753484341742,0.993776267869844,260,0.9,0.95
