Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
61,Des61,Superiority,1,1-Sided,0.005,0.990028457689908,243,0.3,0.45,Under Null Hypothesis
62,Des62,Superiority,1,1-Sided,0.005,0.990393324891098,88,0.3,0.55,Under Null Hypothesis
63,Des63,Superiority,1,1-Sided,0.005,0.990507075266516,19,0.3,0.79,Under Null Hypothesis
64,Des64,Superiority,1,1-Sided,0.025,0.990019150925038,1613,0.3,0.35,Under Null Hypothesis
65,Des65,Superiority,1,1-Sided,0.025,0.990063286497235,188,0.3,0.45,Under Null Hypothesis
66,Des66,Superiority,1,1-Sided,0.025,0.990319098632875,68,0.3,0.55,Under Null Hypothesis
67,Des67,Superiority,1,1-Sided,0.025,0.992939000389201,15,0.3,0.79,Under Null Hypothesis
68,Des68,Superiority,1,1-Sided,0.05,0.990005624044306,1389,0.3,0.35,Under Null Hypothesis
69,Des69,Superiority,1,1-Sided,0.05,0.990210284463889,163,0.3,0.45,Under Null Hypothesis
70,Des70,Superiority,1,1-Sided,0.05,0.990481178274068,59,0.3,0.55,Under Null Hypothesis
71,Des71,Superiority,1,1-Sided,0.05,0.993557748198892,13,0.3,0.79,Under Null Hypothesis
72,Des72,Superiority,1,1-Sided,0.1,0.990009961660241,1152,0.3,0.35,Under Null Hypothesis
73,Des73,Superiority,1,1-Sided,0.1,0.990247019189685,136,0.3,0.45,Under Null Hypothesis
74,Des74,Superiority,1,1-Sided,0.1,0.99028440366514,49,0.3,0.55,Under Null Hypothesis
75,Des75,Superiority,1,1-Sided,0.1,0.990922103811947,10,0.3,0.79,Under Null Hypothesis
76,Des76,Superiority,1,1-Sided,0.245,0.990033355323848,814,0.3,0.35,Under Null Hypothesis
77,Des77,Superiority,1,1-Sided,0.245,0.990193667642139,97,0.3,0.45,Under Null Hypothesis
78,Des78,Superiority,1,1-Sided,0.245,0.990282387423131,35,0.3,0.55,Under Null Hypothesis
79,Des79,Superiority,1,1-Sided,0.245,0.991941029868879,7,0.3,0.79,Under Null Hypothesis
