Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.511031554137113,245,0.1,0.15,Under Null Hypothesis
2,Des2,Superiority,1,1-Sided,0.005,0.519318557918562,28,0.1,0.25,Under Null Hypothesis
3,Des3,Superiority,1,1-Sided,0.005,0.514901884860171,10,0.1,0.35,Under Null Hypothesis
4,Des4,Superiority,1,1-Sided,0.005,0.56136648173561,3,0.1,0.59,Under Null Hypothesis
5,Des5,Superiority,1,1-Sided,0.025,0.511086102345792,143,0.1,0.15,Under Null Hypothesis
6,Des6,Superiority,1,1-Sided,0.025,0.511064348151987,16,0.1,0.25,Under Null Hypothesis
7,Des7,Superiority,1,1-Sided,0.025,0.520385513191028,6,0.1,0.35,Under Null Hypothesis
8,Des8,Superiority,1,1-Sided,0.025,0.584506957840504,2,0.1,0.59,Under Null Hypothesis
9,Des9,Superiority,1,1-Sided,0.05,0.510096391428511,101,0.1,0.15,Under Null Hypothesis
10,Des10,Superiority,1,1-Sided,0.05,0.524086240651565,12,0.1,0.25,Under Null Hypothesis
11,Des11,Superiority,1,1-Sided,0.05,0.554663632656413,5,0.1,0.35,Under Null Hypothesis
12,Des12,Superiority,1,1-Sided,0.05,0.657497400822342,2,0.1,0.59,Under Null Hypothesis
13,Des13,Superiority,1,1-Sided,0.1,0.510316678156025,62,0.1,0.15,Under Null Hypothesis
14,Des14,Superiority,1,1-Sided,0.1,0.511420224778025,7,0.1,0.25,Under Null Hypothesis
15,Des15,Superiority,1,1-Sided,0.1,0.540535403125163,3,0.1,0.35,Under Null Hypothesis
16,Des16,Superiority,1,1-Sided,0.245,0.512122994465383,19,0.1,0.15,Under Null Hypothesis
17,Des17,Superiority,1,1-Sided,0.245,0.548447540242184,3,0.1,0.25,Under Null Hypothesis
18,Des18,Superiority,1,1-Sided,0.005,0.80021777303464,461,0.1,0.15,Under Null Hypothesis
19,Des19,Superiority,1,1-Sided,0.005,0.803335090514558,58,0.1,0.25,Under Null Hypothesis
20,Des20,Superiority,1,1-Sided,0.005,0.814225884672786,23,0.1,0.35,Under Null Hypothesis
21,Des21,Superiority,1,1-Sided,0.005,0.807630944268112,6,0.1,0.59,Under Null Hypothesis
22,Des22,Superiority,1,1-Sided,0.025,0.800244029021981,316,0.1,0.15,Under Null Hypothesis
23,Des23,Superiority,1,1-Sided,0.025,0.805161815557344,41,0.1,0.25,Under Null Hypothesis
24,Des24,Superiority,1,1-Sided,0.025,0.806153686689139,16,0.1,0.35,Under Null Hypothesis
25,Des25,Superiority,1,1-Sided,0.025,0.849017341570188,5,0.1,0.59,Under Null Hypothesis
26,Des26,Superiority,1,1-Sided,0.05,0.801036233457545,253,0.1,0.15,Under Null Hypothesis
27,Des27,Superiority,1,1-Sided,0.05,0.802444978375238,33,0.1,0.25,Under Null Hypothesis
28,Des28,Superiority,1,1-Sided,0.05,0.803795638242012,13,0.1,0.35,Under Null Hypothesis
29,Des29,Superiority,1,1-Sided,0.05,0.83872849298356,4,0.1,0.59,Under Null Hypothesis
30,Des30,Superiority,1,1-Sided,0.1,0.800455299577719,188,0.1,0.15,Under Null Hypothesis
31,Des31,Superiority,1,1-Sided,0.1,0.80071162921368,25,0.1,0.25,Under Null Hypothesis
32,Des32,Superiority,1,1-Sided,0.1,0.80273340535232,10,0.1,0.35,Under Null Hypothesis
33,Des33,Superiority,1,1-Sided,0.1,0.827388568919627,3,0.1,0.59,Under Null Hypothesis
34,Des34,Superiority,1,1-Sided,0.245,0.801790948643831,104,0.1,0.15,Under Null Hypothesis
35,Des35,Superiority,1,1-Sided,0.245,0.806035934953689,15,0.1,0.25,Under Null Hypothesis
36,Des36,Superiority,1,1-Sided,0.245,0.802253303861547,6,0.1,0.35,Under Null Hypothesis
37,Des37,Superiority,1,1-Sided,0.245,0.838394146300935,2,0.1,0.59,Under Null Hypothesis
38,Des38,Superiority,1,1-Sided,0.005,0.900245099928852,606,0.1,0.15,Under Null Hypothesis
39,Des39,Superiority,1,1-Sided,0.005,0.902231861355796,79,0.1,0.25,Under Null Hypothesis
40,Des40,Superiority,1,1-Sided,0.005,0.902887220155816,31,0.1,0.35,Under Null Hypothesis
41,Des41,Superiority,1,1-Sided,0.005,0.921854618074242,9,0.1,0.59,Under Null Hypothesis
42,Des42,Superiority,1,1-Sided,0.025,0.900406274839646,438,0.1,0.15,Under Null Hypothesis
43,Des43,Superiority,1,1-Sided,0.025,0.903699655115141,59,0.1,0.25,Under Null Hypothesis
44,Des44,Superiority,1,1-Sided,0.025,0.90906225863261,24,0.1,0.35,Under Null Hypothesis
45,Des45,Superiority,1,1-Sided,0.025,0.925120641540618,7,0.1,0.59,Under Null Hypothesis
46,Des46,Superiority,1,1-Sided,0.05,0.900124464343476,362,0.1,0.15,Under Null Hypothesis
47,Des47,Superiority,1,1-Sided,0.05,0.900653314760807,49,0.1,0.25,Under Null Hypothesis
48,Des48,Superiority,1,1-Sided,0.05,0.904812586918767,20,0.1,0.35,Under Null Hypothesis
49,Des49,Superiority,1,1-Sided,0.05,0.924649502979096,6,0.1,0.59,Under Null Hypothesis
50,Des50,Superiority,1,1-Sided,0.1,0.900267145151592,284,0.1,0.15,Under Null Hypothesis
51,Des51,Superiority,1,1-Sided,0.1,0.903713517128807,40,0.1,0.25,Under Null Hypothesis
52,Des52,Superiority,1,1-Sided,0.1,0.901563357503653,16,0.1,0.35,Under Null Hypothesis
53,Des53,Superiority,1,1-Sided,0.1,0.92591621211952,5,0.1,0.59,Under Null Hypothesis
54,Des54,Superiority,1,1-Sided,0.245,0.900249769328612,177,0.1,0.15,Under Null Hypothesis
55,Des55,Superiority,1,1-Sided,0.245,0.901143063300551,26,0.1,0.25,Under Null Hypothesis
56,Des56,Superiority,1,1-Sided,0.245,0.903917227560383,11,0.1,0.35,Under Null Hypothesis
57,Des57,Superiority,1,1-Sided,0.245,0.903973859177613,3,0.1,0.59,Under Null Hypothesis
58,Des58,Superiority,1,1-Sided,0.005,0.990035798350521,1029,0.1,0.15,Under Null Hypothesis
59,Des59,Superiority,1,1-Sided,0.005,0.990065323758165,141,0.1,0.25,Under Null Hypothesis
60,Des60,Superiority,1,1-Sided,0.005,0.990282144393188,57,0.1,0.35,Under Null Hypothesis
61,Des61,Superiority,1,1-Sided,0.005,0.992109254660488,16,0.1,0.59,Under Null Hypothesis
62,Des62,Superiority,1,1-Sided,0.025,0.990062929320916,806,0.1,0.15,Under Null Hypothesis
63,Des63,Superiority,1,1-Sided,0.025,0.990377360049568,114,0.1,0.25,Under Null Hypothesis
64,Des64,Superiority,1,1-Sided,0.025,0.990876785849059,47,0.1,0.35,Under Null Hypothesis
65,Des65,Superiority,1,1-Sided,0.025,0.991726159602684,13,0.1,0.59,Under Null Hypothesis
66,Des66,Superiority,1,1-Sided,0.05,0.990047351056622,702,0.1,0.15,Under Null Hypothesis
67,Des67,Superiority,1,1-Sided,0.05,0.990404271161372,101,0.1,0.25,Under Null Hypothesis
68,Des68,Superiority,1,1-Sided,0.05,0.990918198700881,42,0.1,0.35,Under Null Hypothesis
69,Des69,Superiority,1,1-Sided,0.05,0.992815218991201,12,0.1,0.59,Under Null Hypothesis
70,Des70,Superiority,1,1-Sided,0.1,0.990028832243817,591,0.1,0.15,Under Null Hypothesis
71,Des71,Superiority,1,1-Sided,0.1,0.990440790958998,87,0.1,0.25,Under Null Hypothesis
72,Des72,Superiority,1,1-Sided,0.1,0.990326999603037,36,0.1,0.35,Under Null Hypothesis
73,Des73,Superiority,1,1-Sided,0.1,0.991076846073826,10,0.1,0.59,Under Null Hypothesis
74,Des74,Superiority,1,1-Sided,0.245,0.990019538142768,431,0.1,0.15,Under Null Hypothesis
75,Des75,Superiority,1,1-Sided,0.245,0.990254104915669,66,0.1,0.25,Under Null Hypothesis
76,Des76,Superiority,1,1-Sided,0.245,0.990340478515009,28,0.1,0.35,Under Null Hypothesis
77,Des77,Superiority,1,1-Sided,0.245,0.991731011167683,8,0.1,0.59,Under Null Hypothesis
