Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
61,Des61,Superiority,1,1-Sided,0.005,0.995720611271914,10,0.5,0.99,Under Null Hypothesis
62,Des62,Superiority,1,1-Sided,0.025,0.990023033764596,1828,0.5,0.55,Under Null Hypothesis
63,Des63,Superiority,1,1-Sided,0.025,0.990279102805766,195,0.5,0.65,Under Null Hypothesis
64,Des64,Superiority,1,1-Sided,0.025,0.990754354227375,64,0.5,0.75,Under Null Hypothesis
65,Des65,Superiority,1,1-Sided,0.025,0.999264394245069,7,0.5,0.99,Under Null Hypothesis
66,Des66,Superiority,1,1-Sided,0.05,0.990006893766285,1568,0.5,0.55,Under Null Hypothesis
67,Des67,Superiority,1,1-Sided,0.05,0.990032964048052,166,0.5,0.65,Under Null Hypothesis
68,Des68,Superiority,1,1-Sided,0.05,0.990443696308856,54,0.5,0.75,Under Null Hypothesis
69,Des69,Superiority,1,1-Sided,0.05,0.996985781350069,5,0.5,0.99,Under Null Hypothesis
70,Des70,Superiority,1,1-Sided,0.1,0.990026292112142,1294,0.5,0.55,Under Null Hypothesis
71,Des71,Superiority,1,1-Sided,0.1,0.990294094320021,137,0.5,0.65,Under Null Hypothesis
72,Des72,Superiority,1,1-Sided,0.1,0.990610776078766,44,0.5,0.75,Under Null Hypothesis
73,Des73,Superiority,1,1-Sided,0.1,0.999674388723067,4,0.5,0.99,Under Null Hypothesis
74,Des74,Superiority,1,1-Sided,0.245,0.99000000287169,903,0.5,0.55,Under Null Hypothesis
75,Des75,Superiority,1,1-Sided,0.245,0.990398966899848,95,0.5,0.65,Under Null Hypothesis
76,Des76,Superiority,1,1-Sided,0.245,0.990989288945365,30,0.5,0.75,Under Null Hypothesis
77,Des77,Superiority,1,1-Sided,0.245,0.999763523009093,2,0.5,0.99,Under Null Hypothesis
