Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.511283821806835,433,0.8,0.85,Under Null Hypothesis
2,Des2,Superiority,1,1-Sided,0.005,0.516284414663167,48,0.8,0.95,Under Null Hypothesis
3,Des3,Superiority,1,1-Sided,0.025,0.51088055671593,252,0.8,0.85,Under Null Hypothesis
4,Des4,Superiority,1,1-Sided,0.025,0.517822503913364,28,0.8,0.95,Under Null Hypothesis
5,Des5,Superiority,1,1-Sided,0.05,0.510212615352671,178,0.8,0.85,Under Null Hypothesis
6,Des6,Superiority,1,1-Sided,0.05,0.523560839422006,20,0.8,0.95,Under Null Hypothesis
7,Des7,Superiority,1,1-Sided,0.1,0.510495128114233,109,0.8,0.85,Under Null Hypothesis
8,Des8,Superiority,1,1-Sided,0.1,0.512801256060442,12,0.8,0.95,Under Null Hypothesis
9,Des9,Superiority,1,1-Sided,0.245,0.512404749489554,33,0.8,0.85,Under Null Hypothesis
10,Des10,Superiority,1,1-Sided,0.245,0.543617961239653,4,0.8,0.95,Under Null Hypothesis
11,Des11,Superiority,1,1-Sided,0.005,0.800393424494989,709,0.8,0.85,Under Null Hypothesis
12,Des12,Superiority,1,1-Sided,0.005,0.806167743851192,66,0.8,0.95,Under Null Hypothesis
13,Des13,Superiority,1,1-Sided,0.025,0.800487506624291,471,0.8,0.85,Under Null Hypothesis
14,Des14,Superiority,1,1-Sided,0.025,0.805980482281863,42,0.8,0.95,Under Null Hypothesis
15,Des15,Superiority,1,1-Sided,0.05,0.800553050170945,368,0.8,0.85,Under Null Hypothesis
16,Des16,Superiority,1,1-Sided,0.05,0.809069284679107,32,0.8,0.95,Under Null Hypothesis
17,Des17,Superiority,1,1-Sided,0.1,0.800627832891134,265,0.8,0.85,Under Null Hypothesis
18,Des18,Superiority,1,1-Sided,0.1,0.809512374866526,22,0.8,0.95,Under Null Hypothesis
19,Des19,Superiority,1,1-Sided,0.245,0.801680985496577,134,0.8,0.85,Under Null Hypothesis
20,Des20,Superiority,1,1-Sided,0.245,0.81845346969,10,0.8,0.95,Under Null Hypothesis
21,Des21,Superiority,1,1-Sided,0.005,0.900172132716396,886,0.8,0.85,Under Null Hypothesis
22,Des22,Superiority,1,1-Sided,0.005,0.905216061380303,77,0.8,0.95,Under Null Hypothesis
23,Des23,Superiority,1,1-Sided,0.025,0.900188211561562,617,0.8,0.85,Under Null Hypothesis
24,Des24,Superiority,1,1-Sided,0.025,0.906230687564562,51,0.8,0.95,Under Null Hypothesis
25,Des25,Superiority,1,1-Sided,0.05,0.900122224139983,498,0.8,0.85,Under Null Hypothesis
26,Des26,Superiority,1,1-Sided,0.05,0.908900543433774,40,0.8,0.95,Under Null Hypothesis
27,Des27,Superiority,1,1-Sided,0.1,0.900293757985814,377,0.8,0.85,Under Null Hypothesis
28,Des28,Superiority,1,1-Sided,0.1,0.901439447336967,28,0.8,0.95,Under Null Hypothesis
29,Des29,Superiority,1,1-Sided,0.245,0.900548365551723,216,0.8,0.85,Under Null Hypothesis
30,Des30,Superiority,1,1-Sided,0.245,0.904604647904066,14,0.8,0.95,Under Null Hypothesis
31,Des31,Superiority,1,1-Sided,0.005,0.990033314562316,1386,0.8,0.85,Under Null Hypothesis
32,Des32,Superiority,1,1-Sided,0.005,0.990824345020541,106,0.8,0.95,Under Null Hypothesis
33,Des33,Superiority,1,1-Sided,0.025,0.99000877364933,1043,0.8,0.85,Under Null Hypothesis
34,Des34,Superiority,1,1-Sided,0.025,0.990941617701333,75,0.8,0.95,Under Null Hypothesis
35,Des35,Superiority,1,1-Sided,0.05,0.990038261683249,887,0.8,0.85,Under Null Hypothesis
36,Des36,Superiority,1,1-Sided,0.05,0.990776961201912,61,0.8,0.95,Under Null Hypothesis
37,Des37,Superiority,1,1-Sided,0.1,0.99001565759896,722,0.8,0.85,Under Null Hypothesis
38,Des38,Superiority,1,1-Sided,0.1,0.991017054391195,47,0.8,0.95,Under Null Hypothesis
39,Des39,Superiority,1,1-Sided,0.245,0.990000097728628,490,0.8,0.85,Under Null Hypothesis
40,Des40,Superiority,1,1-Sided,0.245,0.991223628399008,28,0.8,0.95,Under Null Hypothesis
