Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
1,Des1,Superiority,1,1-Sided,0.025,0.901175973841619,137,0.8,0.9,Under Null Hypothesis
158,Des2,Superiority,1,1-Sided,0.005,0.510460866643341,677,0.5,0.55,Under Null Hypothesis
159,Des3,Superiority,1,1-Sided,0.005,0.51651858638274,76,0.5,0.65,Under Null Hypothesis
160,Des4,Superiority,1,1-Sided,0.005,0.51024710597742,27,0.5,0.75,Under Null Hypothesis
161,Des5,Superiority,1,1-Sided,0.005,0.534053453070903,7,0.5,0.99,Under Null Hypothesis
162,Des6,Superiority,1,1-Sided,0.025,0.510014465653234,394,0.5,0.55,Under Null Hypothesis
163,Des7,Superiority,1,1-Sided,0.025,0.512548637923765,44,0.5,0.65,Under Null Hypothesis
164,Des8,Superiority,1,1-Sided,0.025,0.518436377730576,16,0.5,0.75,Under Null Hypothesis
165,Des9,Superiority,1,1-Sided,0.025,0.877532795848526,5,0.5,0.99,Under Null Hypothesis
166,Des10,Superiority,1,1-Sided,0.05,0.510213411396788,279,0.5,0.55,Under Null Hypothesis
167,Des11,Superiority,1,1-Sided,0.05,0.510652794656427,31,0.5,0.65,Under Null Hypothesis
168,Des12,Superiority,1,1-Sided,0.05,0.540100387692538,12,0.5,0.75,Under Null Hypothesis
169,Des13,Superiority,1,1-Sided,0.05,0.604150363539756,3,0.5,0.99,Under Null Hypothesis
170,Des14,Superiority,1,1-Sided,0.1,0.510470910851762,171,0.5,0.55,Under Null Hypothesis
171,Des15,Superiority,1,1-Sided,0.1,0.510921366439423,19,0.5,0.65,Under Null Hypothesis
172,Des16,Superiority,1,1-Sided,0.1,0.519029086760095,7,0.5,0.75,Under Null Hypothesis
173,Des17,Superiority,1,1-Sided,0.1,0.700040780309706,2,0.5,0.99,Under Null Hypothesis
174,Des18,Superiority,1,1-Sided,0.245,0.512347925555311,52,0.5,0.55,Under Null Hypothesis
175,Des19,Superiority,1,1-Sided,0.245,0.518619297265325,6,0.5,0.65,Under Null Hypothesis
176,Des20,Superiority,1,1-Sided,0.245,0.580393414281853,3,0.5,0.75,Under Null Hypothesis
177,Des21,Superiority,1,1-Sided,0.005,0.800405590596275,1166,0.5,0.55,Under Null Hypothesis
178,Des22,Superiority,1,1-Sided,0.005,0.800628480464351,127,0.5,0.65,Under Null Hypothesis
179,Des23,Superiority,1,1-Sided,0.005,0.803834281913482,44,0.5,0.75,Under Null Hypothesis
180,Des24,Superiority,1,1-Sided,0.005,0.83770863450197,8,0.5,0.99,Under Null Hypothesis
181,Des25,Superiority,1,1-Sided,0.025,0.800238286453445,783,0.5,0.55,Under Null Hypothesis
182,Des26,Superiority,1,1-Sided,0.025,0.800892112783929,85,0.5,0.65,Under Null Hypothesis
183,Des27,Superiority,1,1-Sided,0.025,0.801211042746646,29,0.5,0.75,Under Null Hypothesis
184,Des28,Superiority,1,1-Sided,0.025,0.877532795848526,5,0.5,0.99,Under Null Hypothesis
185,Des29,Superiority,1,1-Sided,0.05,0.800475822094129,617,0.5,0.55,Under Null Hypothesis
186,Des30,Superiority,1,1-Sided,0.05,0.802309446410125,67,0.5,0.65,Under Null Hypothesis
187,Des31,Superiority,1,1-Sided,0.05,0.807729889469623,23,0.5,0.75,Under Null Hypothesis
188,Des32,Superiority,1,1-Sided,0.05,0.943365594713942,4,0.5,0.99,Under Null Hypothesis
189,Des33,Superiority,1,1-Sided,0.1,0.800002220007914,449,0.5,0.55,Under Null Hypothesis
190,Des34,Superiority,1,1-Sided,0.1,0.804544680067828,49,0.5,0.65,Under Null Hypothesis
191,Des35,Superiority,1,1-Sided,0.1,0.81611752887624,17,0.5,0.75,Under Null Hypothesis
192,Des36,Superiority,1,1-Sided,0.1,0.981680597058958,3,0.5,0.99,Under Null Hypothesis
193,Des37,Superiority,1,1-Sided,0.245,0.800560716795223,234,0.5,0.55,Under Null Hypothesis
194,Des38,Superiority,1,1-Sided,0.245,0.80200008244051,25,0.5,0.65,Under Null Hypothesis
195,Des39,Superiority,1,1-Sided,0.245,0.825093181801089,9,0.5,0.75,Under Null Hypothesis
196,Des40,Superiority,1,1-Sided,0.005,0.900002978450808,1483,0.5,0.55,Under Null Hypothesis
197,Des41,Superiority,1,1-Sided,0.005,0.901504219043814,161,0.5,0.65,Under Null Hypothesis
198,Des42,Superiority,1,1-Sided,0.005,0.90446710174747,55,0.5,0.75,Under Null Hypothesis
199,Des43,Superiority,1,1-Sided,0.005,0.966377017847605,9,0.5,0.99,Under Null Hypothesis
200,Des44,Superiority,1,1-Sided,0.025,0.900113938678556,1047,0.5,0.55,Under Null Hypothesis
201,Des45,Superiority,1,1-Sided,0.025,0.901201086736303,113,0.5,0.65,Under Null Hypothesis
202,Des46,Superiority,1,1-Sided,0.025,0.902487210990553,38,0.5,0.75,Under Null Hypothesis
203,Des47,Superiority,1,1-Sided,0.025,0.98657792145943,6,0.5,0.99,Under Null Hypothesis
204,Des48,Superiority,1,1-Sided,0.05,0.900111963762467,853,0.5,0.55,Under Null Hypothesis
205,Des49,Superiority,1,1-Sided,0.05,0.901849711735159,92,0.5,0.65,Under Null Hypothesis
206,Des50,Superiority,1,1-Sided,0.05,0.905784848689909,31,0.5,0.75,Under Null Hypothesis
207,Des51,Superiority,1,1-Sided,0.05,0.943365594713942,4,0.5,0.99,Under Null Hypothesis
208,Des52,Superiority,1,1-Sided,0.1,0.900116908727092,654,0.5,0.55,Under Null Hypothesis
209,Des53,Superiority,1,1-Sided,0.1,0.901082277264275,70,0.5,0.65,Under Null Hypothesis
210,Des54,Superiority,1,1-Sided,0.1,0.901312487486035,23,0.5,0.75,Under Null Hypothesis
211,Des55,Superiority,1,1-Sided,0.1,0.981680597058958,3,0.5,0.99,Under Null Hypothesis
212,Des56,Superiority,1,1-Sided,0.245,0.900316245126734,387,0.5,0.55,Under Null Hypothesis
213,Des57,Superiority,1,1-Sided,0.245,0.901483201637184,41,0.5,0.65,Under Null Hypothesis
214,Des58,Superiority,1,1-Sided,0.245,0.900528011893287,13,0.5,0.75,Under Null Hypothesis
215,Des59,Superiority,1,1-Sided,0.005,0.990007805221381,2392,0.5,0.55,Under Null Hypothesis
216,Des60,Superiority,1,1-Sided,0.005,0.990138191029068,256,0.5,0.65,Under Null Hypothesis
217,Des61,Superiority,1,1-Sided,0.005,0.990577803936511,85,0.5,0.75,Under Null Hypothesis
218,Des62,Superiority,1,1-Sided,0.005,0.995720611271914,10,0.5,0.99,Under Null Hypothesis
219,Des63,Superiority,1,1-Sided,0.025,0.990023033764596,1828,0.5,0.55,Under Null Hypothesis
220,Des64,Superiority,1,1-Sided,0.025,0.990279102805766,195,0.5,0.65,Under Null Hypothesis
221,Des65,Superiority,1,1-Sided,0.025,0.990754354227375,64,0.5,0.75,Under Null Hypothesis
222,Des66,Superiority,1,1-Sided,0.025,0.999264394245069,7,0.5,0.99,Under Null Hypothesis
223,Des67,Superiority,1,1-Sided,0.05,0.990006893766285,1568,0.5,0.55,Under Null Hypothesis
