 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Test Significance Level, ??;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1;0,005;0,025;0,05;0,1
1 or 2 Sided Test??;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One;One
Null Hypothesis Proportion, ???;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9
Alternative Proportion, ???;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,35;0,35;0,35;0,35;0,59;0,59;0,59;0,59;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,35;0,35;0,35;0,35;0,59;0,59;0,59;0,59;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,35;0,35;0,35;0,35;0,59;0,59;0,59;0,59;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,35;0,35;0,35;0,35;0,59;0,59;0,59;0,59;0,35;0,35;0,35;0,35;0,45;0,45;0,45;0,45;0,55;0,55;0,55;0,55;0,79;0,79;0,79;0,79;0,35;0,35;0,35;0,35;0,45;0,45;0,45;0,45;0,55;0,55;0,55;0,55;0,79;0,79;0,79;0,79;0,35;0,35;0,35;0,35;0,45;0,45;0,45;0,45;0,55;0,55;0,55;0,55;0,79;0,79;0,79;0,79;0,35;0,35;0,35;0,35;0,45;0,45;0,45;0,45;0,55;0,55;0,55;0,55;0,79;0,79;0,79;0,79;0,55;0,55;0,55;0,55;0,65;0,65;0,65;0,65;0,75;0,75;0,75;0,75;0,99;0,99;0,99;0,99;0,55;0,55;0,55;0,55;0,65;0,65;0,65;0,65;0,75;0,75;0,75;0,75;0,99;0,99;0,99;0,99;0,55;0,55;0,55;0,55;0,65;0,65;0,65;0,65;0,75;0,75;0,75;0,75;0,99;0,99;0,99;0,99;0,55;0,55;0,55;0,55;0,65;0,65;0,65;0,65;0,75;0,75;0,75;0,75;0,99;0,99;0,99;0,99;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95
Power (%)?;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;51;51;51;51;51;51;51;51;80;80;80;80;80;80;80;80;90;90;90;90;90;90;90;90;99;99;99;99;99;99;99;99;51;51;51;51;80;80;80;80;90;90;90;90;99;99;99;99
Sample Size, n?;245;143;101;62;28;16;12;7;10;6;5;3;3;2;2;2;461;316;253;188;58;41;33;25;23;16;13;10;6;5;4;3;606;438;362;284;79;59;49;40;31;24;20;16;9;7;6;5;1029;806;702;591;141;114;101;87;57;47;42;36;16;13;12;10;569;332;235;144;64;37;27;16;23;14;10;6;6;4;3;2;1001;676;534;392;114;78;62;45;41;28;22;17;10;7;6;4;1285;912;746;575;147;105;87;67;53;38;31;25;13;9;7;6;2098;1613;1389;1152;243;188;163;136;88;68;59;49;19;15;13;10;677;394;279;171;76;44;31;19;27;16;12;7;7;5;3;2;1166;783;617;449;127;85;67;49;44;29;23;17;8;5;4;3;1483;1047;853;654;161;113;92;70;55;38;31;23;9;6;4;3;2392;1828;1568;1294;256;195;166;137;85;64;54;44;10;7;5;4;433;252;178;109;48;28;20;12;709;471;368;265;66;42;32;22;886;617;498;377;77;51;40;28;1386;1043;887;722;106;75;61;47;243;141;100;61;366;239;184;130;443;301;239;177;656;480;401;318
