Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1
1,Des1,Superiority,1,1-Sided Exact,0.005,0.00497698468569703,0.522490788603333,1,74,0.1,0.35,0.25
2,Des2,Superiority,1,1-Sided Exact,0.005,0.00484943690486705,0.512870614148871,1,108,0.3,0.55,0.25
3,Des3,Superiority,1,1-Sided Exact,0.005,0.00496558779785784,0.520629814442651,1,102,0.5,0.75,0.25
4,Des4,Superiority,1,1-Sided Exact,0.025,0.022029235084086,0.520635550497053,1,48,0.1,0.35,0.25
5,Des5,Superiority,1,1-Sided Exact,0.025,0.0240470503580072,0.51019354241211,1,62,0.3,0.55,0.25
6,Des6,Superiority,1,1-Sided Exact,0.025,0.0240470503580072,0.527904052996405,1,62,0.5,0.75,0.25
7,Des7,Superiority,1,1-Sided Exact,0.05,0.0424243402061952,0.518333883236894,1,36,0.1,0.35,0.25
8,Des8,Superiority,1,1-Sided Exact,0.05,0.0445303287510057,0.526798259702455,1,52,0.3,0.55,0.25
9,Des9,Superiority,1,1-Sided Exact,0.05,0.0438726200737119,0.524102149489086,1,46,0.5,0.75,0.25
10,Des10,Superiority,1,1-Sided Exact,0.1,0.0810019546596072,0.542469133352674,1,24,0.1,0.35,0.25
11,Des11,Superiority,1,1-Sided Exact,0.1,0.0775474610408968,0.515183408097001,1,36,0.3,0.55,0.25
12,Des12,Superiority,1,1-Sided Exact,0.1,0.0925734034743753,0.511301733209849,1,28,0.5,0.75,0.25
13,Des13,Superiority,1,1-Sided Exact,0.245,0.211974590086599,0.566547931934908,1,14,0.1,0.35,0.25
14,Des14,Superiority,1,1-Sided Exact,0.245,0.164773578007134,0.517414816380322,1,20,0.3,0.55,0.25
15,Des15,Superiority,1,1-Sided Exact,0.245,0.164773578007134,0.531424244865777,1,20,0.5,0.75,0.25
16,Des16,Superiority,1,1-Sided Exact,0.005,0.00470338084650877,0.804346467392058,1,130,0.1,0.35,0.25
