Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.510108861177019,1,1184,0.1,0.15,0.05,Pooled Estimate
2,Des2,Superiority,1,1-Sided,0.005,0.510145572662751,1,2375,0.3,0.35,0.05,Pooled Estimate
3,Des3,Superiority,1,1-Sided,0.005,0.510184933349663,1,2700,0.5,0.55,0.05,Pooled Estimate
4,Des4,Superiority,1,1-Sided,0.005,0.51014173841477,1,1563,0.8,0.85,0.05,Pooled Estimate
5,Des5,Superiority,1,1-Sided,0.005,0.510129612453668,1,751,0.9,0.95,0.05,Pooled Estimate
6,Des6,Superiority,1,1-Sided,0.025,0.510280663027706,1,690,0.1,0.15,0.05,Pooled Estimate
7,Des7,Superiority,1,1-Sided,0.025,0.510282257030969,1,1384,0.3,0.35,0.05,Pooled Estimate
8,Des8,Superiority,1,1-Sided,0.025,0.510213719703896,1,1573,0.5,0.55,0.05,Pooled Estimate
9,Des9,Superiority,1,1-Sided,0.025,0.51036063991833,1,911,0.8,0.85,0.05,Pooled Estimate
10,Des10,Superiority,1,1-Sided,0.025,0.510609262031068,1,438,0.9,0.95,0.05,Pooled Estimate
11,Des11,Superiority,1,1-Sided,0.05,0.510020323878189,1,488,0.1,0.15,0.05,Pooled Estimate
12,Des12,Superiority,1,1-Sided,0.05,0.510077948471759,1,979,0.3,0.35,0.05,Pooled Estimate
13,Des13,Superiority,1,1-Sided,0.05,0.510112068677681,1,1113,0.5,0.55,0.05,Pooled Estimate
14,Des14,Superiority,1,1-Sided,0.05,0.510448377226417,1,645,0.8,0.85,0.05,Pooled Estimate
15,Des15,Superiority,1,1-Sided,0.05,0.510543135991919,1,310,0.9,0.95,0.05,Pooled Estimate
16,Des16,Superiority,1,1-Sided,0.1,0.510229814075828,1,299,0.1,0.15,0.05,Pooled Estimate
17,Des17,Superiority,1,1-Sided,0.1,0.510341936015117,1,600,0.3,0.35,0.05,Pooled Estimate
18,Des18,Superiority,1,1-Sided,0.1,0.510320532342983,1,682,0.5,0.55,0.05,Pooled Estimate
19,Des19,Superiority,1,1-Sided,0.1,0.510434440212636,1,395,0.8,0.85,0.05,Pooled Estimate
20,Des20,Superiority,1,1-Sided,0.1,0.510727804784027,1,190,0.9,0.95,0.05,Pooled Estimate
21,Des21,Superiority,1,1-Sided,0.245,0.510732376456129,1,90,0.1,0.15,0.05,Pooled Estimate
22,Des22,Superiority,1,1-Sided,0.245,0.510308673798863,1,180,0.3,0.35,0.05,Pooled Estimate
23,Des23,Superiority,1,1-Sided,0.245,0.51057552609468,1,205,0.5,0.55,0.05,Pooled Estimate
24,Des24,Superiority,1,1-Sided,0.245,0.510966063800172,1,119,0.8,0.85,0.05,Pooled Estimate
25,Des25,Superiority,1,1-Sided,0.245,0.5105344327932,1,57,0.9,0.95,0.05,Pooled Estimate
26,Des26,Superiority,1,1-Sided,0.005,0.800014062555064,1,2041,0.1,0.15,0.05,Pooled Estimate
27,Des27,Superiority,1,1-Sided,0.005,0.800065446703071,1,4097,0.3,0.35,0.05,Pooled Estimate
28,Des28,Superiority,1,1-Sided,0.005,0.80009963646584,1,4658,0.5,0.55,0.05,Pooled Estimate
29,Des29,Superiority,1,1-Sided,0.005,0.800006559644497,1,2695,0.8,0.85,0.05,Pooled Estimate
30,Des30,Superiority,1,1-Sided,0.005,0.800191277620592,1,1294,0.9,0.95,0.05,Pooled Estimate
31,Des31,Superiority,1,1-Sided,0.025,0.800230949653352,1,1372,0.1,0.15,0.05,Pooled Estimate
32,Des32,Superiority,1,1-Sided,0.025,0.80005736120426,1,2753,0.3,0.35,0.05,Pooled Estimate
33,Des33,Superiority,1,1-Sided,0.025,0.800082253900121,1,3130,0.5,0.55,0.05,Pooled Estimate
34,Des34,Superiority,1,1-Sided,0.025,0.800058220405531,1,1811,0.8,0.85,0.05,Pooled Estimate
35,Des35,Superiority,1,1-Sided,0.025,0.800061550663638,1,869,0.9,0.95,0.05,Pooled Estimate
36,Des36,Superiority,1,1-Sided,0.05,0.800047510399287,1,1080,0.1,0.15,0.05,Pooled Estimate
37,Des37,Superiority,1,1-Sided,0.05,0.800002582041898,1,2168,0.3,0.35,0.05,Pooled Estimate
38,Des38,Superiority,1,1-Sided,0.05,0.800035782717593,1,2465,0.5,0.55,0.05,Pooled Estimate
39,Des39,Superiority,1,1-Sided,0.05,0.800225594990456,1,1427,0.8,0.85,0.05,Pooled Estimate
40,Des40,Superiority,1,1-Sided,0.05,0.800424110255631,1,685,0.9,0.95,0.05,Pooled Estimate
41,Des41,Superiority,1,1-Sided,0.1,0.800344867316689,1,788,0.1,0.15,0.05,Pooled Estimate
42,Des42,Superiority,1,1-Sided,0.1,0.800099324415414,1,1581,0.3,0.35,0.05,Pooled Estimate
43,Des43,Superiority,1,1-Sided,0.1,0.800024886047274,1,1797,0.5,0.55,0.05,Pooled Estimate
44,Des44,Superiority,1,1-Sided,0.1,0.800135018613701,1,1040,0.8,0.85,0.05,Pooled Estimate
45,Des45,Superiority,1,1-Sided,0.1,0.800248858718187,1,499,0.9,0.95,0.05,Pooled Estimate
46,Des46,Superiority,1,1-Sided,0.245,0.800313600188024,1,410,0.1,0.15,0.05,Pooled Estimate
47,Des47,Superiority,1,1-Sided,0.245,0.800145923273108,1,823,0.3,0.35,0.05,Pooled Estimate
48,Des48,Superiority,1,1-Sided,0.245,0.800209285164826,1,936,0.5,0.55,0.05,Pooled Estimate
49,Des49,Superiority,1,1-Sided,0.245,0.800070195471293,1,541,0.8,0.85,0.05,Pooled Estimate
50,Des50,Superiority,1,1-Sided,0.245,0.800657679850281,1,260,0.9,0.95,0.05,Pooled Estimate
51,Des51,Superiority,1,1-Sided,0.005,0.900007228849118,1,2599,0.1,0.15,0.05,Pooled Estimate
52,Des52,Superiority,1,1-Sided,0.005,0.900018236861314,1,5218,0.3,0.35,0.05,Pooled Estimate
53,Des53,Superiority,1,1-Sided,0.005,0.900003997974904,1,5932,0.5,0.55,0.05,Pooled Estimate
54,Des54,Superiority,1,1-Sided,0.005,0.900079828424201,1,3433,0.8,0.85,0.05,Pooled Estimate
55,Des55,Superiority,1,1-Sided,0.005,0.900069856971598,1,1647,0.9,0.95,0.05,Pooled Estimate
56,Des56,Superiority,1,1-Sided,0.025,0.90005569957729,1,1835,0.1,0.15,0.05,Pooled Estimate
57,Des57,Superiority,1,1-Sided,0.025,0.900003899628901,1,3684,0.3,0.35,0.05,Pooled Estimate
58,Des58,Superiority,1,1-Sided,0.025,0.900047153262816,1,4189,0.5,0.55,0.05,Pooled Estimate
59,Des59,Superiority,1,1-Sided,0.025,0.900110689438545,1,2424,0.8,0.85,0.05,Pooled Estimate
60,Des60,Superiority,1,1-Sided,0.025,0.900204955444015,1,1163,0.9,0.95,0.05,Pooled Estimate
61,Des61,Superiority,1,1-Sided,0.05,0.900013775688694,1,1495,0.1,0.15,0.05,Pooled Estimate
62,Des62,Superiority,1,1-Sided,0.05,0.900072004732166,1,3003,0.3,0.35,0.05,Pooled Estimate
63,Des63,Superiority,1,1-Sided,0.05,0.900058449493364,1,3414,0.5,0.55,0.05,Pooled Estimate
64,Des64,Superiority,1,1-Sided,0.05,0.900065592171655,1,1975,0.8,0.85,0.05,Pooled Estimate
65,Des65,Superiority,1,1-Sided,0.05,0.900045683794869,1,947,0.9,0.95,0.05,Pooled Estimate
66,Des66,Superiority,1,1-Sided,0.1,0.900122726607511,1,1147,0.1,0.15,0.05,Pooled Estimate
67,Des67,Superiority,1,1-Sided,0.1,0.90003833297442,1,2303,0.3,0.35,0.05,Pooled Estimate
68,Des68,Superiority,1,1-Sided,0.1,0.900004832145427,1,2618,0.5,0.55,0.05,Pooled Estimate
69,Des69,Superiority,1,1-Sided,0.1,0.900108868387594,1,1515,0.8,0.85,0.05,Pooled Estimate
70,Des70,Superiority,1,1-Sided,0.1,0.900023046128076,1,726,0.9,0.95,0.05,Pooled Estimate
71,Des71,Superiority,1,1-Sided,0.245,0.900022344002077,1,678,0.1,0.15,0.05,Pooled Estimate
72,Des72,Superiority,1,1-Sided,0.245,0.900096248629395,1,1363,0.3,0.35,0.05,Pooled Estimate
73,Des73,Superiority,1,1-Sided,0.245,0.900013686584453,1,1549,0.5,0.55,0.05,Pooled Estimate
74,Des74,Superiority,1,1-Sided,0.245,0.900066887461036,1,896,0.8,0.85,0.05,Pooled Estimate
75,Des75,Superiority,1,1-Sided,0.245,0.900376985287847,1,430,0.9,0.95,0.05,Pooled Estimate
76,Des76,Superiority,1,1-Sided,0.005,0.990014467239455,1,4195,0.1,0.15,0.05,Pooled Estimate
77,Des77,Superiority,1,1-Sided,0.005,0.990003163751504,1,8424,0.3,0.35,0.05,Pooled Estimate
78,Des78,Superiority,1,1-Sided,0.005,0.990006160511772,1,9578,0.5,0.55,0.05,Pooled Estimate
79,Des79,Superiority,1,1-Sided,0.005,0.990002017011668,1,5540,0.8,0.85,0.05,Pooled Estimate
80,Des80,Superiority,1,1-Sided,0.005,0.990023121241969,1,2657,0.9,0.95,0.05,Pooled Estimate
81,Des81,Superiority,1,1-Sided,0.025,0.990014191657096,1,3206,0.1,0.15,0.05,Pooled Estimate
82,Des82,Superiority,1,1-Sided,0.025,0.990002112156353,1,6439,0.3,0.35,0.05,Pooled Estimate
83,Des83,Superiority,1,1-Sided,0.025,0.990002802649165,1,7321,0.5,0.55,0.05,Pooled Estimate
84,Des84,Superiority,1,1-Sided,0.025,0.990012631664274,1,4235,0.8,0.85,0.05,Pooled Estimate
85,Des85,Superiority,1,1-Sided,0.025,0.990017969938859,1,2030,0.9,0.95,0.05,Pooled Estimate
86,Des86,Superiority,1,1-Sided,0.05,0.990008022442312,1,2751,0.1,0.15,0.05,Pooled Estimate
87,Des87,Superiority,1,1-Sided,0.05,0.990007817913733,1,5527,0.3,0.35,0.05,Pooled Estimate
88,Des88,Superiority,1,1-Sided,0.05,0.990007031526158,1,6284,0.5,0.55,0.05,Pooled Estimate
89,Des89,Superiority,1,1-Sided,0.05,0.990003943592021,1,3634,0.8,0.85,0.05,Pooled Estimate
90,Des90,Superiority,1,1-Sided,0.05,0.990022144975391,1,1742,0.9,0.95,0.05,Pooled Estimate
91,Des91,Superiority,1,1-Sided,0.1,0.990009184082478,1,2270,0.1,0.15,0.05,Pooled Estimate
92,Des92,Superiority,1,1-Sided,0.1,0.990004745260584,1,4561,0.3,0.35,0.05,Pooled Estimate
93,Des93,Superiority,1,1-Sided,0.1,0.990005904377172,1,5186,0.5,0.55,0.05,Pooled Estimate
94,Des94,Superiority,1,1-Sided,0.1,0.990007758827976,1,2999,0.8,0.85,0.05,Pooled Estimate
95,Des95,Superiority,1,1-Sided,0.1,0.990017411475828,1,1437,0.9,0.95,0.05,Pooled Estimate
96,Des96,Superiority,1,1-Sided,0.245,0.990012221684615,1,1586,0.1,0.15,0.05,Pooled Estimate
97,Des97,Superiority,1,1-Sided,0.245,0.990010625055635,1,3188,0.3,0.35,0.05,Pooled Estimate
98,Des98,Superiority,1,1-Sided,0.245,0.990000354671764,1,3624,0.5,0.55,0.05,Pooled Estimate
99,Des99,Superiority,1,1-Sided,0.245,0.990016673303017,1,2096,0.8,0.85,0.05,Pooled Estimate
100,Des100,Superiority,1,1-Sided,0.245,0.99003593159408,1,1004,0.9,0.95,0.05,Pooled Estimate
