Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1
1,Des1,Superiority,1,1-Sided Exact,0.005,0.00472874012800748,0.522139095153811,1,26,0.1,0.59,0.49
2,Des2,Superiority,1,1-Sided Exact,0.005,0.00454245508052636,0.536404971580535,1,30,0.3,0.79,0.49
3,Des3,Superiority,1,1-Sided Exact,0.005,0.003415496982086,0.564437133994911,1,24,0.5,0.99,0.49
4,Des4,Superiority,1,1-Sided Exact,0.025,0.016403182862251,0.56137815937715,1,18,0.1,0.59,0.49
5,Des5,Superiority,1,1-Sided Exact,0.025,0.0210951651019379,0.600734171189863,1,20,0.3,0.79,0.49
6,Des6,Superiority,1,1-Sided Exact,0.025,0.013946915936096,0.598398741598362,1,16,0.5,0.99,0.49
7,Des7,Superiority,1,1-Sided Exact,0.05,0.0337881561781296,0.510728648761662,1,12,0.1,0.59,0.49
8,Des8,Superiority,1,1-Sided Exact,0.05,0.0375778382391422,0.524766015980822,1,14,0.3,0.79,0.49
9,Des9,Superiority,1,1-Sided Exact,0.05,0.0337881561781296,0.624110037434297,1,12,0.5,0.99,0.49
10,Des10,Superiority,1,1-Sided Exact,0.1,0.0892670167354178,0.572066443485,1,8,0.1,0.59,0.49
11,Des11,Superiority,1,1-Sided Exact,0.1,0.0936883490490629,0.560521270821988,1,10,0.3,0.79,0.49
12,Des12,Superiority,1,1-Sided Exact,0.1,0.0892670167354178,0.662872258125,1,8,0.5,0.99,0.49
13,Des13,Superiority,1,1-Sided Exact,0.245,0.10937443749925,0.511759215,1,6,0.1,0.59,0.49
14,Des14,Superiority,1,1-Sided Exact,0.245,0.10937443749925,0.521404345,1,6,0.3,0.79,0.49
15,Des15,Superiority,1,1-Sided Exact,0.245,0.144530687498875,0.672575248125,1,8,0.5,0.99,0.49
16,Des16,Superiority,1,1-Sided Exact,0.005,0.00487070191278844,0.807533383386518,1,40,0.1,0.59,0.49
17,Des17,Superiority,1,1-Sided Exact,0.005,0.00483223694218929,0.810261854720161,1,46,0.3,0.79,0.49
18,Des18,Superiority,1,1-Sided Exact,0.005,0.0036764472049285,0.846744256376275,1,32,0.5,0.99,0.49
19,Des19,Superiority,1,1-Sided Exact,0.025,0.0216392846543637,0.830718526549803,1,30,0.1,0.59,0.49
20,Des20,Superiority,1,1-Sided Exact,0.025,0.0224058312914411,0.80364797920389,1,32,0.3,0.79,0.49
21,Des21,Superiority,1,1-Sided Exact,0.025,0.020726758715691,0.845038064462616,1,22,0.5,0.99,0.49
22,Des22,Superiority,1,1-Sided Exact,0.05,0.0468241398143187,0.819606030591286,1,24,0.1,0.59,0.49
23,Des23,Superiority,1,1-Sided Exact,0.05,0.0480492393943807,0.806782984568262,1,26,0.3,0.79,0.49
24,Des24,Superiority,1,1-Sided Exact,0.05,0.0411211448367905,0.816850279642409,1,16,0.5,0.99,0.49
25,Des25,Superiority,1,1-Sided Exact,0.1,0.0720819500420511,0.809492028553382,1,18,0.1,0.59,0.49
26,Des26,Superiority,1,1-Sided Exact,0.1,0.0784471806323269,0.829752704560862,1,22,0.3,0.79,0.49
27,Des27,Superiority,1,1-Sided Exact,0.1,0.0985092151793805,0.858277831137891,1,12,0.5,0.99,0.49
28,Des28,Superiority,1,1-Sided Exact,0.245,0.193847128904961,0.847685547667672,1,12,0.1,0.59,0.49
29,Des29,Superiority,1,1-Sided Exact,0.245,0.193847128904961,0.833104199158184,1,12,0.3,0.79,0.49
30,Des30,Superiority,1,1-Sided Exact,0.245,0.193847128904961,0.876448423418907,1,12,0.5,0.99,0.49
