Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1
31,Des31,Superiority,1,1-Sided Exact,0.005,0.0048519864154582,0.906334870088953,1,50,0.1,0.59,0.49
32,Des32,Superiority,1,1-Sided Exact,0.005,0.00477276571613425,0.904697520337019,1,58,0.3,0.79,0.49
33,Des33,Superiority,1,1-Sided Exact,0.005,0.0046371281345258,0.915092036881296,1,36,0.5,0.99,0.49
34,Des34,Superiority,1,1-Sided Exact,0.025,0.0239227622051767,0.912086609770137,1,36,0.1,0.59,0.49
35,Des35,Superiority,1,1-Sided Exact,0.025,0.0248269000498215,0.908622302627848,1,42,0.3,0.79,0.49
36,Des36,Superiority,1,1-Sided Exact,0.025,0.0242568733280225,0.922309130648124,1,26,0.5,0.99,0.49
37,Des37,Superiority,1,1-Sided Exact,0.05,0.0415836880566509,0.911878655366038,1,32,0.1,0.59,0.49
38,Des38,Superiority,1,1-Sided Exact,0.05,0.0424243402061952,0.900729579240171,1,36,0.3,0.79,0.49
39,Des39,Superiority,1,1-Sided Exact,0.05,0.0474389922046477,0.91341155370432,1,20,0.5,0.99,0.49
40,Des40,Superiority,1,1-Sided Exact,0.1,0.0810019546596072,0.904611206525384,1,24,0.1,0.59,0.49
41,Des41,Superiority,1,1-Sided Exact,0.1,0.0846039985703524,0.900427314277444,1,26,0.3,0.79,0.49
42,Des42,Superiority,1,1-Sided Exact,0.1,0.0755097205502651,0.932158901302156,1,20,0.5,0.99,0.49
43,Des43,Superiority,1,1-Sided Exact,0.245,0.162134626069609,0.906550276883519,1,18,0.1,0.59,0.49
44,Des44,Superiority,1,1-Sided Exact,0.245,0.166961259305162,0.919054429461097,1,22,0.3,0.79,0.49
45,Des45,Superiority,1,1-Sided Exact,0.245,0.211974590086599,0.925789765396406,1,14,0.5,0.99,0.49
46,Des46,Superiority,1,1-Sided Exact,0.005,0.00499503269815889,0.990430452452892,1,78,0.1,0.59,0.49
47,Des47,Superiority,1,1-Sided Exact,0.005,0.00497147749666406,0.990814818793962,1,92,0.3,0.79,0.49
48,Des48,Superiority,1,1-Sided Exact,0.005,0.0048463987125238,0.991764825265488,1,54,0.5,0.99,0.49
49,Des49,Superiority,1,1-Sided Exact,0.025,0.0240470503580072,0.991605654237735,1,62,0.1,0.59,0.49
50,Des50,Superiority,1,1-Sided Exact,0.025,0.0246980561026548,0.991942902147195,1,72,0.3,0.79,0.49
51,Des51,Superiority,1,1-Sided Exact,0.025,0.0243169609379492,0.990252512279108,1,38,0.5,0.99,0.49
52,Des52,Superiority,1,1-Sided Exact,0.05,0.0445303287510057,0.990567416233829,1,52,0.1,0.59,0.49
53,Des53,Superiority,1,1-Sided Exact,0.05,0.0462452219240239,0.990694388680424,1,60,0.3,0.79,0.49
54,Des54,Superiority,1,1-Sided Exact,0.05,0.0424243402061952,0.990415758350504,1,36,0.5,0.99,0.49
55,Des55,Superiority,1,1-Sided Exact,0.1,0.0919627114859025,0.991652801593768,1,46,0.1,0.59,0.49
56,Des56,Superiority,1,1-Sided Exact,0.1,0.0789817528594953,0.990487275716989,1,54,0.3,0.79,0.49
57,Des57,Superiority,1,1-Sided Exact,0.1,0.0870550814121051,0.99301449623509,1,30,0.5,0.99,0.49
58,Des58,Superiority,1,1-Sided Exact,0.245,0.195765024861715,0.991384611807861,1,34,0.1,0.59,0.49
59,Des59,Superiority,1,1-Sided Exact,0.245,0.17840204899752,0.992356057865796,1,44,0.3,0.79,0.49
60,Des60,Superiority,1,1-Sided Exact,0.245,0.166961259305162,0.990042190318457,1,22,0.5,0.99,0.49
