Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
24,Des24,Superiority,1,1-Sided,0.05,0.801481396960269,1,91,0.5,0.75,0.25,Pooled Estimate
25,Des25,Superiority,1,1-Sided,0.1,0.803157919035367,1,49,0.1,0.35,0.25,Pooled Estimate
26,Des26,Superiority,1,1-Sided,0.1,0.801327778446942,1,69,0.3,0.55,0.25,Pooled Estimate
27,Des27,Superiority,1,1-Sided,0.1,0.800863248534332,1,66,0.5,0.75,0.25,Pooled Estimate
28,Des28,Superiority,1,1-Sided,0.245,0.800988113631535,1,25,0.1,0.35,0.25,Pooled Estimate
29,Des29,Superiority,1,1-Sided,0.245,0.803621877663836,1,36,0.3,0.55,0.25,Pooled Estimate
30,Des30,Superiority,1,1-Sided,0.245,0.800623364180299,1,34,0.5,0.75,0.25,Pooled Estimate
31,Des31,Superiority,1,1-Sided,0.005,0.902078529797782,1,162,0.1,0.35,0.25,Pooled Estimate
32,Des32,Superiority,1,1-Sided,0.005,0.900431314127496,1,228,0.3,0.55,0.25,Pooled Estimate
33,Des33,Superiority,1,1-Sided,0.005,0.901278107240526,1,219,0.5,0.75,0.25,Pooled Estimate
34,Des34,Superiority,1,1-Sided,0.025,0.902433300977946,1,114,0.1,0.35,0.25,Pooled Estimate
35,Des35,Superiority,1,1-Sided,0.025,0.901546843576779,1,161,0.3,0.55,0.25,Pooled Estimate
36,Des36,Superiority,1,1-Sided,0.025,0.90110427232413,1,154,0.5,0.75,0.25,Pooled Estimate
37,Des37,Superiority,1,1-Sided,0.05,0.900651133491634,1,92,0.1,0.35,0.25,Pooled Estimate
38,Des38,Superiority,1,1-Sided,0.05,0.901688542569914,1,131,0.3,0.55,0.25,Pooled Estimate
39,Des39,Superiority,1,1-Sided,0.05,0.900688793413553,1,125,0.5,0.75,0.25,Pooled Estimate
40,Des40,Superiority,1,1-Sided,0.1,0.900025312469177,1,70,0.1,0.35,0.25,Pooled Estimate
41,Des41,Superiority,1,1-Sided,0.1,0.901291290966689,1,100,0.3,0.55,0.25,Pooled Estimate
42,Des42,Superiority,1,1-Sided,0.1,0.901835761650048,1,96,0.5,0.75,0.25,Pooled Estimate
43,Des43,Superiority,1,1-Sided,0.245,0.900665901166957,1,41,0.1,0.35,0.25,Pooled Estimate
44,Des44,Superiority,1,1-Sided,0.245,0.902167991336443,1,59,0.3,0.55,0.25,Pooled Estimate
45,Des45,Superiority,1,1-Sided,0.245,0.900684640555796,1,56,0.5,0.75,0.25,Pooled Estimate
46,Des46,Superiority,1,1-Sided,0.005,0.99009224147354,1,257,0.1,0.35,0.25,Pooled Estimate
47,Des47,Superiority,1,1-Sided,0.005,0.990118471900545,1,365,0.3,0.55,0.25,Pooled Estimate
48,Des48,Superiority,1,1-Sided,0.005,0.990007127778204,1,349,0.5,0.75,0.25,Pooled Estimate
49,Des49,Superiority,1,1-Sided,0.025,0.990012473898149,1,195,0.1,0.35,0.25,Pooled Estimate
50,Des50,Superiority,1,1-Sided,0.025,0.990145658420477,1,278,0.3,0.55,0.25,Pooled Estimate
51,Des51,Superiority,1,1-Sided,0.025,0.990100715410162,1,266,0.5,0.75,0.25,Pooled Estimate
52,Des52,Superiority,1,1-Sided,0.05,0.990106335859475,1,167,0.1,0.35,0.25,Pooled Estimate
53,Des53,Superiority,1,1-Sided,0.05,0.990146328315161,1,238,0.3,0.55,0.25,Pooled Estimate
54,Des54,Superiority,1,1-Sided,0.05,0.990175166210157,1,228,0.5,0.75,0.25,Pooled Estimate
55,Des55,Superiority,1,1-Sided,0.1,0.990069164153998,1,137,0.1,0.35,0.25,Pooled Estimate
56,Des56,Superiority,1,1-Sided,0.1,0.990211590191134,1,196,0.3,0.55,0.25,Pooled Estimate
57,Des57,Superiority,1,1-Sided,0.1,0.99004953869276,1,187,0.5,0.75,0.25,Pooled Estimate
58,Des58,Superiority,1,1-Sided,0.245,0.990211502327834,1,95,0.1,0.35,0.25,Pooled Estimate
59,Des59,Superiority,1,1-Sided,0.245,0.990212393262542,1,136,0.3,0.55,0.25,Pooled Estimate
60,Des60,Superiority,1,1-Sided,0.245,0.990168300950494,1,130,0.5,0.75,0.25,Pooled Estimate
