Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.514118966889901,1,76,0.1,0.35,0.25,Pooled Estimate
2,Des2,Superiority,1,1-Sided,0.005,0.511351353835974,1,106,0.3,0.55,0.25,Pooled Estimate
3,Des3,Superiority,1,1-Sided,0.005,0.513150582388704,1,102,0.5,0.75,0.25,Pooled Estimate
4,Des4,Superiority,1,1-Sided,0.025,0.510722234767706,1,44,0.1,0.35,0.25,Pooled Estimate
5,Des5,Superiority,1,1-Sided,0.025,0.512807001258894,1,62,0.3,0.55,0.25,Pooled Estimate
6,Des6,Superiority,1,1-Sided,0.025,0.516527920660027,1,60,0.5,0.75,0.25,Pooled Estimate
7,Des7,Superiority,1,1-Sided,0.05,0.520262060577173,1,32,0.1,0.35,0.25,Pooled Estimate
8,Des8,Superiority,1,1-Sided,0.05,0.513372075170071,1,44,0.3,0.55,0.25,Pooled Estimate
9,Des9,Superiority,1,1-Sided,0.05,0.511753352831041,1,42,0.5,0.75,0.25,Pooled Estimate
10,Des10,Superiority,1,1-Sided,0.1,0.523879847680989,1,20,0.1,0.35,0.25,Pooled Estimate
11,Des11,Superiority,1,1-Sided,0.1,0.51333763335019,1,27,0.3,0.55,0.25,Pooled Estimate
12,Des12,Superiority,1,1-Sided,0.1,0.514453862571526,1,26,0.5,0.75,0.25,Pooled Estimate
13,Des13,Superiority,1,1-Sided,0.245,0.517942247425492,1,6,0.1,0.35,0.25,Pooled Estimate
14,Des14,Superiority,1,1-Sided,0.245,0.510261951033656,1,8,0.3,0.55,0.25,Pooled Estimate
15,Des15,Superiority,1,1-Sided,0.245,0.516508077130924,1,8,0.5,0.75,0.25,Pooled Estimate
16,Des16,Superiority,1,1-Sided,0.005,0.802284075083967,1,128,0.1,0.35,0.25,Pooled Estimate
17,Des17,Superiority,1,1-Sided,0.005,0.800689265885848,1,180,0.3,0.55,0.25,Pooled Estimate
18,Des18,Superiority,1,1-Sided,0.005,0.802069414437706,1,173,0.5,0.75,0.25,Pooled Estimate
19,Des19,Superiority,1,1-Sided,0.025,0.803790103322798,1,86,0.1,0.35,0.25,Pooled Estimate
20,Des20,Superiority,1,1-Sided,0.025,0.802086906955493,1,121,0.3,0.55,0.25,Pooled Estimate
21,Des21,Superiority,1,1-Sided,0.025,0.802264116897832,1,116,0.5,0.75,0.25,Pooled Estimate
22,Des22,Superiority,1,1-Sided,0.05,0.800685370885868,1,67,0.1,0.35,0.25,Pooled Estimate
23,Des23,Superiority,1,1-Sided,0.05,0.801575744292563,1,95,0.3,0.55,0.25,Pooled Estimate
